supplier_name,facility_name,risk_type,risk_level,timeframe,child_labour_rate_pct,school_attendance_rate_pct,ilab_tvpra_listing_score,regulatory_framework_strength,enforcement_effectiveness,composite_risk_score_delta,context
Garmin International,Global Headquarters,Child Labour,Very Low,Baseline,0.5,99.5,0.0,1.0,1.0,-0.75,"Country child labour rate of 0.5% with 99.5% school attendance; not listed on ILAB TVPRA worst-forms list, robust regulatory framework, effective enforcement. Composite risk score adjustment: -0.7500 (risk-mitigating). Baseline risk level: Very Low."
Garmin International,Olathe Manufacturing,Child Labour,Very Low,Baseline,0.5,99.5,0.0,1.0,1.0,-0.75,"Country child labour rate of 0.5% with 99.5% school attendance; not listed on ILAB TVPRA worst-forms list, robust regulatory framework, effective enforcement. Composite risk score adjustment: -0.7500 (risk-mitigating). Baseline risk level: Very Low."
Garmin International,Garmin Salem,Child Labour,Very Low,Baseline,0.5,99.5,0.0,1.0,1.0,-0.75,"Country child labour rate of 0.5% with 99.5% school attendance; not listed on ILAB TVPRA worst-forms list, robust regulatory framework, effective enforcement. Composite risk score adjustment: -0.7500 (risk-mitigating). Baseline risk level: Very Low."
Garmin International,Garmin Chandler,Child Labour,Very Low,Baseline,0.5,99.5,0.0,1.0,1.0,-0.75,"Country child labour rate of 0.5% with 99.5% school attendance; not listed on ILAB TVPRA worst-forms list, robust regulatory framework, effective enforcement. Composite risk score adjustment: -0.7500 (risk-mitigating). Baseline risk level: Very Low."
Garmin International,Lin Kou Plant (Taiwan),Child Labour,Very Low,Baseline,0.5,99.5,0.0,1.0,1.0,-0.75,"Country child labour rate of 0.5% with 99.5% school attendance; not listed on ILAB TVPRA worst-forms list, robust regulatory framework, effective enforcement. Composite risk score adjustment: -0.7500 (risk-mitigating). Baseline risk level: Very Low."
Garmin International,Zhongli Plant (Taiwan),Child Labour,Very Low,Baseline,0.5,99.5,0.0,1.0,1.0,-0.75,"Country child labour rate of 0.5% with 99.5% school attendance; not listed on ILAB TVPRA worst-forms list, robust regulatory framework, effective enforcement. Composite risk score adjustment: -0.7500 (risk-mitigating). Baseline risk level: Very Low."
Garmin International,Tainan Plant (Taiwan),Child Labour,Very Low,Baseline,0.5,99.5,0.0,1.0,1.0,-0.75,"Country child labour rate of 0.5% with 99.5% school attendance; not listed on ILAB TVPRA worst-forms list, robust regulatory framework, effective enforcement. Composite risk score adjustment: -0.7500 (risk-mitigating). Baseline risk level: Very Low."
Garmin International,Garmin Europe HQ,Child Labour,Very Low,Baseline,0.5,99.5,0.0,1.0,1.0,-0.75,"Country child labour rate of 0.5% with 99.5% school attendance; not listed on ILAB TVPRA worst-forms list, robust regulatory framework, effective enforcement. Composite risk score adjustment: -0.7500 (risk-mitigating). Baseline risk level: Very Low."
Garmin International,Würzburg R&D (Germany),Child Labour,Very Low,Baseline,0.5,99.5,0.0,1.0,1.0,-0.75,"Country child labour rate of 0.5% with 99.5% school attendance; not listed on ILAB TVPRA worst-forms list, robust regulatory framework, effective enforcement. Composite risk score adjustment: -0.7500 (risk-mitigating). Baseline risk level: Very Low."
Garmin International,Garmin Cluj (Romania),Child Labour,Medium,Baseline,2.5,94.8,0.5,0.5,0.5,-0.0498,"Country child labour rate of 2.5% with 94.8% school attendance; on ILAB TVPRA watchlist, moderate regulatory framework, moderate enforcement. Composite risk score adjustment: -0.0498 (risk-mitigating). Baseline risk level: Medium."
