supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,child_labour_rate_pct,school_attendance_rate_pct,ilab_tvpra_listing_score,regulatory_framework_strength,enforcement_effectiveness,composite_risk_score_delta,projected_trend,change_probability,key_risk_driver,context,monitoring_signals
Garmin International,Global Headquarters,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
Garmin International,Olathe Manufacturing,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
Garmin International,Garmin Salem,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
Garmin International,Garmin Chandler,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
Garmin International,Lin Kou Plant (Taiwan),Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
Garmin International,Zhongli Plant (Taiwan),Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
Garmin International,Tainan Plant (Taiwan),Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
Garmin International,Garmin Europe HQ,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
Garmin International,Würzburg R&D (Germany),Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
Garmin International,Garmin Cluj (Romania),Child Labour,Medium,High,Stable,Within 12 Months,2.5,94.8,0.5,0.5,0.5,-0.0498,Improving,Low,EU enforcement and Roma child labour monitoring,UNICEF 2.1–3.7% child labour (concentrated Roma community); EU accession obligations and European Roma Rights Centre monitoring limiting expansion.,Romania ANPIS social protection reports; ERRC Roma school inclusion data
Garmin International,Garmin Singapore,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
Garmin International,Garmin Birtley (UK),Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
Garmin International,Garmin Australasia,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
Techtronic Industries,TTI Innovation Center,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
Techtronic Industries,Milwaukee Tool Global HQ,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
Techtronic Industries,Milwaukee Tool Jackson Plant,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
Techtronic Industries,Milwaukee Tool Grenada Plant,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
Techtronic Industries,Milwaukee Tool Greenwood Plant,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
Techtronic Industries,Milwaukee Tool Olive Branch DC,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
