supplier_name,facility_name,risk_type,risk_level,timeframe,context
Garmin International,Global Headquarters,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Garmin International,Olathe Manufacturing,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Garmin International,Garmin Salem,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Garmin International,Garmin Chandler,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Garmin International,Lin Kou Plant (Taiwan),Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Garmin International,Zhongli Plant (Taiwan),Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Garmin International,Tainan Plant (Taiwan),Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Garmin International,Garmin Europe HQ,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Garmin International,Würzburg R&D (Germany),Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Garmin International,Garmin Cluj (Romania),Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Garmin International,Garmin Singapore,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Garmin International,Garmin Birtley (UK),Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Garmin International,Garmin Australasia,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Techtronic Industries,TTI Innovation Center,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Techtronic Industries,Milwaukee Tool Global HQ,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Techtronic Industries,Milwaukee Tool Jackson Plant,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Techtronic Industries,Milwaukee Tool Grenada Plant,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Techtronic Industries,Milwaukee Tool Greenwood Plant,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Techtronic Industries,Milwaukee Tool Olive Branch DC,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Techtronic Industries,Milwaukee Tool Clinton Plant,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Techtronic Industries,Milwaukee Tool West Bend,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Techtronic Industries,Empire Level (Subsidiary),Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Techtronic Industries,Milwaukee Tool Torreon,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Techtronic Industries,TTI Floor Care N.A.,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Techtronic Industries,TTI Dongguan Hub,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Techtronic Industries,TTI Vietnam (SHTP),Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Techtronic Industries,DreBo Werkzeugfabrik,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Techtronic Industries,Ryobi Die Casting (USA),Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"S.C. Johnson & Son, Inc.",Global Corporate HQ,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"S.C. Johnson & Son, Inc.",Waxdale Facility,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"S.C. Johnson & Son, Inc.",Ziploc Bay City Plant,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"S.C. Johnson & Son, Inc.",North America HQ,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"S.C. Johnson & Son, Inc.","Method ""Soapbox""",Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"S.C. Johnson & Son, Inc.",SC Johnson Professional HQ,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"S.C. Johnson & Son, Inc.",Stanley Plant (SCJP),Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"S.C. Johnson & Son, Inc.",SCJ Europlant,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"S.C. Johnson & Son, Inc.",European Headquarters (Rolle),Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"S.C. Johnson & Son, Inc.",Gorzów Manufacturing,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"S.C. Johnson & Son, Inc.",Rosslyn Factory,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"S.C. Johnson & Son, Inc.",Shanghai Johnson Ltd,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"S.C. Johnson & Son, Inc.",SC Johnson Vietnam,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"S.C. Johnson & Son, Inc.",LATAM Regional HQ,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"S.C. Johnson & Son, Inc.",Pilar Manufacturing,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"S.C. Johnson & Son, Inc.",Toluca Plant,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"GOJO Industries, Inc.",Global Headquarters,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"GOJO Industries, Inc.",Lippman Campus (Stow),Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"GOJO Industries, Inc.",Cuyahoga Falls Plant,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"GOJO Industries, Inc.",Wooster Facility,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"GOJO Industries, Inc.",Maple Heights Plant,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"GOJO Industries, Inc.",Ashland Dist. Center,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"GOJO Industries, Inc.",Navarre Warehouse,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"GOJO Industries, Inc.",GOJO Europe (UK HQ),Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"GOJO Industries, Inc.",GOJO France SARL,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"GOJO Industries, Inc.",GOJO Australasia,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"GOJO Industries, Inc.","GOJO Japan, Inc.",Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"GOJO Industries, Inc.",GOJO América Latina,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"GOJO Industries, Inc.",GOJO Canada Inc.,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Hangzhou Greatstar Industrial.Co.,Global Headquarters,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Hangzhou Greatstar Industrial.Co.,GreatStar Industrial USA,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
