supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,context
Garmin International,Global Headquarters,Coastal Flooding,Negligible,High,Stable,Within 12 Months,Facility falls outside all modelled coastal flood zones. Projected sea-level rise over the next 7 years is insufficient to introduce coastal flood risk at this location.
Garmin International,Olathe Manufacturing,Coastal Flooding,Negligible,High,Stable,Within 12 Months,Facility falls outside all modelled coastal flood zones. Projected sea-level rise over the next 7 years is insufficient to introduce coastal flood risk at this location.
Garmin International,Garmin Salem,Coastal Flooding,Negligible,High,Stable,Within 12 Months,Facility falls outside all modelled coastal flood zones. Projected sea-level rise over the next 7 years is insufficient to introduce coastal flood risk at this location.
Garmin International,Garmin Chandler,Coastal Flooding,Negligible,High,Stable,Within 12 Months,Facility falls outside all modelled coastal flood zones. Projected sea-level rise over the next 7 years is insufficient to introduce coastal flood risk at this location.
Garmin International,Lin Kou Plant (Taiwan),Coastal Flooding,Negligible,High,Stable,Within 12 Months,Facility falls outside all modelled coastal flood zones. Projected sea-level rise over the next 7 years is insufficient to introduce coastal flood risk at this location.
Garmin International,Zhongli Plant (Taiwan),Coastal Flooding,Negligible,High,Stable,Within 12 Months,Facility falls outside all modelled coastal flood zones. Projected sea-level rise over the next 7 years is insufficient to introduce coastal flood risk at this location.
Garmin International,Tainan Plant (Taiwan),Coastal Flooding,Negligible,High,Stable,Within 12 Months,Facility falls outside all modelled coastal flood zones. Projected sea-level rise over the next 7 years is insufficient to introduce coastal flood risk at this location.
Garmin International,Garmin Europe HQ,Coastal Flooding,Negligible,High,Stable,Within 12 Months,Facility falls outside all modelled coastal flood zones. Projected sea-level rise over the next 7 years is insufficient to introduce coastal flood risk at this location.
Garmin International,Würzburg R&D (Germany),Coastal Flooding,Negligible,High,Stable,Within 12 Months,Facility falls outside all modelled coastal flood zones. Projected sea-level rise over the next 7 years is insufficient to introduce coastal flood risk at this location.
Garmin International,Garmin Cluj (Romania),Coastal Flooding,Negligible,High,Stable,Within 12 Months,Facility falls outside all modelled coastal flood zones. Projected sea-level rise over the next 7 years is insufficient to introduce coastal flood risk at this location.
Garmin International,Garmin Singapore,Coastal Flooding,Negligible,High,Stable,Within 12 Months,Facility falls outside all modelled coastal flood zones. Projected sea-level rise over the next 7 years is insufficient to introduce coastal flood risk at this location.
Garmin International,Garmin Birtley (UK),Coastal Flooding,Negligible,High,Stable,Within 12 Months,Facility falls outside all modelled coastal flood zones. Projected sea-level rise over the next 7 years is insufficient to introduce coastal flood risk at this location.
Garmin International,Garmin Australasia,Coastal Flooding,Negligible,High,Stable,Within 12 Months,Facility falls outside all modelled coastal flood zones. Projected sea-level rise over the next 7 years is insufficient to introduce coastal flood risk at this location.
Techtronic Industries,TTI Innovation Center,Coastal Flooding,Negligible,High,Stable,Within 12 Months,Facility falls outside all modelled coastal flood zones. Projected sea-level rise over the next 7 years is insufficient to introduce coastal flood risk at this location.
Techtronic Industries,Milwaukee Tool Global HQ,Coastal Flooding,Negligible,High,Stable,Within 12 Months,Facility falls outside all modelled coastal flood zones. Projected sea-level rise over the next 7 years is insufficient to introduce coastal flood risk at this location.
Techtronic Industries,Milwaukee Tool Jackson Plant,Coastal Flooding,Negligible,High,Stable,Within 12 Months,Facility falls outside all modelled coastal flood zones. Projected sea-level rise over the next 7 years is insufficient to introduce coastal flood risk at this location.
Techtronic Industries,Milwaukee Tool Grenada Plant,Coastal Flooding,Negligible,High,Stable,Within 12 Months,Facility falls outside all modelled coastal flood zones. Projected sea-level rise over the next 7 years is insufficient to introduce coastal flood risk at this location.
Techtronic Industries,Milwaukee Tool Greenwood Plant,Coastal Flooding,Negligible,High,Stable,Within 12 Months,Facility falls outside all modelled coastal flood zones. Projected sea-level rise over the next 7 years is insufficient to introduce coastal flood risk at this location.
Techtronic Industries,Milwaukee Tool Olive Branch DC,Coastal Flooding,Negligible,High,Stable,Within 12 Months,Facility falls outside all modelled coastal flood zones. Projected sea-level rise over the next 7 years is insufficient to introduce coastal flood risk at this location.
Techtronic Industries,Milwaukee Tool Clinton Plant,Coastal Flooding,Negligible,High,Stable,Within 12 Months,Facility falls outside all modelled coastal flood zones. Projected sea-level rise over the next 7 years is insufficient to introduce coastal flood risk at this location.
Techtronic Industries,Milwaukee Tool West Bend,Coastal Flooding,Negligible,High,Stable,Within 12 Months,Facility falls outside all modelled coastal flood zones. Projected sea-level rise over the next 7 years is insufficient to introduce coastal flood risk at this location.
Techtronic Industries,Empire Level (Subsidiary),Coastal Flooding,Negligible,High,Stable,Within 12 Months,Facility falls outside all modelled coastal flood zones. Projected sea-level rise over the next 7 years is insufficient to introduce coastal flood risk at this location.
