supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,context
Garmin International,Global Headquarters,Coastal Flooding,Negligible,Medium,Stable,Within 5 Years,RCP4.5 2050 projections do not indicate entry into modelled coastal flood zones for this location within the 5-year horizon. Long-run sea-level rise under SSP5-8.5 may introduce tail risk beyond 2030.
Garmin International,Olathe Manufacturing,Coastal Flooding,Negligible,Medium,Stable,Within 5 Years,RCP4.5 2050 projections do not indicate entry into modelled coastal flood zones for this location within the 5-year horizon. Long-run sea-level rise under SSP5-8.5 may introduce tail risk beyond 2030.
Garmin International,Garmin Salem,Coastal Flooding,Negligible,Medium,Stable,Within 5 Years,RCP4.5 2050 projections do not indicate entry into modelled coastal flood zones for this location within the 5-year horizon. Long-run sea-level rise under SSP5-8.5 may introduce tail risk beyond 2030.
Garmin International,Garmin Chandler,Coastal Flooding,Negligible,Medium,Stable,Within 5 Years,RCP4.5 2050 projections do not indicate entry into modelled coastal flood zones for this location within the 5-year horizon. Long-run sea-level rise under SSP5-8.5 may introduce tail risk beyond 2030.
Garmin International,Lin Kou Plant (Taiwan),Coastal Flooding,Negligible,Medium,Stable,Within 5 Years,RCP4.5 2050 projections do not indicate entry into modelled coastal flood zones for this location within the 5-year horizon. Long-run sea-level rise under SSP5-8.5 may introduce tail risk beyond 2030.
Garmin International,Zhongli Plant (Taiwan),Coastal Flooding,Negligible,Medium,Stable,Within 5 Years,RCP4.5 2050 projections do not indicate entry into modelled coastal flood zones for this location within the 5-year horizon. Long-run sea-level rise under SSP5-8.5 may introduce tail risk beyond 2030.
Garmin International,Tainan Plant (Taiwan),Coastal Flooding,Negligible,Medium,Stable,Within 5 Years,RCP4.5 2050 projections do not indicate entry into modelled coastal flood zones for this location within the 5-year horizon. Long-run sea-level rise under SSP5-8.5 may introduce tail risk beyond 2030.
Garmin International,Garmin Europe HQ,Coastal Flooding,Negligible,Medium,Stable,Within 5 Years,RCP4.5 2050 projections do not indicate entry into modelled coastal flood zones for this location within the 5-year horizon. Long-run sea-level rise under SSP5-8.5 may introduce tail risk beyond 2030.
Garmin International,Würzburg R&D (Germany),Coastal Flooding,Negligible,Medium,Stable,Within 5 Years,RCP4.5 2050 projections do not indicate entry into modelled coastal flood zones for this location within the 5-year horizon. Long-run sea-level rise under SSP5-8.5 may introduce tail risk beyond 2030.
Garmin International,Garmin Cluj (Romania),Coastal Flooding,Negligible,Medium,Stable,Within 5 Years,RCP4.5 2050 projections do not indicate entry into modelled coastal flood zones for this location within the 5-year horizon. Long-run sea-level rise under SSP5-8.5 may introduce tail risk beyond 2030.
Garmin International,Garmin Singapore,Coastal Flooding,Negligible,Medium,Stable,Within 5 Years,RCP4.5 2050 projections do not indicate entry into modelled coastal flood zones for this location within the 5-year horizon. Long-run sea-level rise under SSP5-8.5 may introduce tail risk beyond 2030.
