,supplier_name,facility_name,risk_type,risk_level,timeframe,current_price
0,Garmin International,Global Headquarters,Energy Price,low,Baseline,0.130988808
1,Garmin International,Olathe Manufacturing,Energy Price,low,Baseline,0.130988808
2,Garmin International,Garmin Salem,Energy Price,low,Baseline,0.130988808
3,Garmin International,Garmin Chandler,Energy Price,low,Baseline,0.130988808
4,Garmin International,Lin Kou Plant (Taiwan),Energy Price,low,Baseline,0.119254608
5,Garmin International,Zhongli Plant (Taiwan),Energy Price,low,Baseline,0.119254608
6,Garmin International,Tainan Plant (Taiwan),Energy Price,low,Baseline,0.119254608
7,Garmin International,Garmin Europe HQ,Energy Price,medium,Baseline,0.140738328
8,Garmin International,Würzburg R&D (Germany),Energy Price,medium,Baseline,0.140738328
9,Garmin International,Garmin Cluj (Romania),Energy Price,high,Baseline,0.17149284
10,Garmin International,Garmin Singapore,Energy Price,very_low,Baseline,0.114771312
11,Garmin International,Garmin Birtley (UK),Energy Price,medium,Baseline,0.140738328
12,Garmin International,Garmin Australasia,Energy Price,low,Baseline,0.117353304
13,Techtronic Industries,TTI Innovation Center,Energy Price,low,Baseline,0.130988808
14,Techtronic Industries,Milwaukee Tool Global HQ,Energy Price,low,Baseline,0.130988808
15,Techtronic Industries,Milwaukee Tool Jackson Plant,Energy Price,low,Baseline,0.130988808
16,Techtronic Industries,Milwaukee Tool Grenada Plant,Energy Price,low,Baseline,0.130988808
17,Techtronic Industries,Milwaukee Tool Greenwood Plant,Energy Price,low,Baseline,0.130988808
18,Techtronic Industries,Milwaukee Tool Olive Branch DC,Energy Price,low,Baseline,0.130988808
19,Techtronic Industries,Milwaukee Tool Clinton Plant,Energy Price,low,Baseline,0.130988808
20,Techtronic Industries,Milwaukee Tool West Bend,Energy Price,low,Baseline,0.130988808
21,Techtronic Industries,Empire Level (Subsidiary),Energy Price,low,Baseline,0.130988808
22,Techtronic Industries,Milwaukee Tool Torreon,Energy Price,low,Baseline,0.12373452
23,Techtronic Industries,TTI Floor Care N.A.,Energy Price,low,Baseline,0.130988808
24,Techtronic Industries,TTI Dongguan Hub,Energy Price,very_low,Baseline,0.111924072
25,Techtronic Industries,TTI Vietnam (SHTP),Energy Price,very_low,Baseline,0.114771312
26,Techtronic Industries,DreBo Werkzeugfabrik,Energy Price,medium,Baseline,0.140738328
27,Techtronic Industries,Ryobi Die Casting (USA),Energy Price,low,Baseline,0.130988808
28,"S.C. Johnson & Son, Inc.",Global Corporate HQ,Energy Price,low,Baseline,0.130988808
29,"S.C. Johnson & Son, Inc.",Waxdale Facility,Energy Price,low,Baseline,0.130988808
30,"S.C. Johnson & Son, Inc.",Ziploc Bay City Plant,Energy Price,low,Baseline,0.130988808
31,"S.C. Johnson & Son, Inc.",North America HQ,Energy Price,low,Baseline,0.130988808
32,"S.C. Johnson & Son, Inc.","Method ""Soapbox""",Energy Price,low,Baseline,0.130988808
33,"S.C. Johnson & Son, Inc.",SC Johnson Professional HQ,Energy Price,low,Baseline,0.130988808
34,"S.C. Johnson & Son, Inc.",Stanley Plant (SCJP),Energy Price,low,Baseline,0.130988808
35,"S.C. Johnson & Son, Inc.",SCJ Europlant,Energy Price,medium,Baseline,0.140738328
36,"S.C. Johnson & Son, Inc.",European Headquarters (Rolle),Energy Price,very_low,Baseline,0.096792264
37,"S.C. Johnson & Son, Inc.",Gorzów Manufacturing,Energy Price,high,Baseline,0.17149284
38,"S.C. Johnson & Son, Inc.",Rosslyn Factory,Energy Price,very_low,Baseline,0.113263416
39,"S.C. Johnson & Son, Inc.",Shanghai Johnson Ltd,Energy Price,very_low,Baseline,0.111924072
40,"S.C. Johnson & Son, Inc.",SC Johnson Vietnam,Energy Price,very_low,Baseline,0.114771312
41,"S.C. Johnson & Son, Inc.",LATAM Regional HQ,Energy Price,very_low,Baseline,0.110835504
42,"S.C. Johnson & Son, Inc.",Pilar Manufacturing,Energy Price,very_low,Baseline,0.110835504
43,"S.C. Johnson & Son, Inc.",Toluca Plant,Energy Price,low,Baseline,0.12373452
44,"GOJO Industries, Inc.",Global Headquarters,Energy Price,low,Baseline,0.130988808
45,"GOJO Industries, Inc.",Lippman Campus (Stow),Energy Price,low,Baseline,0.130988808
