,supplier_name,facility_name,risk_type,risk_level,timeframe,price_change
0,Garmin International,Global Headquarters,Energy Price,medium,Within 12 Months,1.5%
1,Garmin International,Olathe Manufacturing,Energy Price,medium,Within 12 Months,1.5%
2,Garmin International,Garmin Salem,Energy Price,medium,Within 12 Months,1.5%
3,Garmin International,Garmin Chandler,Energy Price,medium,Within 12 Months,1.5%
4,Garmin International,Lin Kou Plant (Taiwan),Energy Price,low,Within 12 Months,2.9%
5,Garmin International,Zhongli Plant (Taiwan),Energy Price,low,Within 12 Months,2.9%
6,Garmin International,Tainan Plant (Taiwan),Energy Price,low,Within 12 Months,2.9%
7,Garmin International,Garmin Europe HQ,Energy Price,medium,Within 12 Months,0.7%
8,Garmin International,Würzburg R&D (Germany),Energy Price,medium,Within 12 Months,0.7%
9,Garmin International,Garmin Cluj (Romania),Energy Price,very_high,Within 12 Months,1.1%
10,Garmin International,Garmin Singapore,Energy Price,low,Within 12 Months,2.2%
11,Garmin International,Garmin Birtley (UK),Energy Price,medium,Within 12 Months,0.7%
12,Garmin International,Garmin Australasia,Energy Price,low,Within 12 Months,2.3%
13,Techtronic Industries,TTI Innovation Center,Energy Price,medium,Within 12 Months,1.5%
14,Techtronic Industries,Milwaukee Tool Global HQ,Energy Price,medium,Within 12 Months,1.5%
15,Techtronic Industries,Milwaukee Tool Jackson Plant,Energy Price,medium,Within 12 Months,1.5%
16,Techtronic Industries,Milwaukee Tool Grenada Plant,Energy Price,medium,Within 12 Months,1.5%
17,Techtronic Industries,Milwaukee Tool Greenwood Plant,Energy Price,medium,Within 12 Months,1.5%
18,Techtronic Industries,Milwaukee Tool Olive Branch DC,Energy Price,medium,Within 12 Months,1.5%
19,Techtronic Industries,Milwaukee Tool Clinton Plant,Energy Price,medium,Within 12 Months,1.5%
20,Techtronic Industries,Milwaukee Tool West Bend,Energy Price,medium,Within 12 Months,1.5%
21,Techtronic Industries,Empire Level (Subsidiary),Energy Price,medium,Within 12 Months,1.5%
22,Techtronic Industries,Milwaukee Tool Torreon,Energy Price,low,Within 12 Months,1.1%
23,Techtronic Industries,TTI Floor Care N.A.,Energy Price,medium,Within 12 Months,1.5%
24,Techtronic Industries,TTI Dongguan Hub,Energy Price,low,Within 12 Months,1.8%
25,Techtronic Industries,TTI Vietnam (SHTP),Energy Price,low,Within 12 Months,2.2%
26,Techtronic Industries,DreBo Werkzeugfabrik,Energy Price,medium,Within 12 Months,0.7%
27,Techtronic Industries,Ryobi Die Casting (USA),Energy Price,medium,Within 12 Months,1.5%
28,"S.C. Johnson & Son, Inc.",Global Corporate HQ,Energy Price,medium,Within 12 Months,1.5%
29,"S.C. Johnson & Son, Inc.",Waxdale Facility,Energy Price,medium,Within 12 Months,1.5%
30,"S.C. Johnson & Son, Inc.",Ziploc Bay City Plant,Energy Price,medium,Within 12 Months,1.5%
31,"S.C. Johnson & Son, Inc.",North America HQ,Energy Price,medium,Within 12 Months,1.5%
32,"S.C. Johnson & Son, Inc.","Method ""Soapbox""",Energy Price,medium,Within 12 Months,1.5%
33,"S.C. Johnson & Son, Inc.",SC Johnson Professional HQ,Energy Price,medium,Within 12 Months,1.5%
34,"S.C. Johnson & Son, Inc.",Stanley Plant (SCJP),Energy Price,medium,Within 12 Months,1.5%
35,"S.C. Johnson & Son, Inc.",SCJ Europlant,Energy Price,medium,Within 12 Months,0.7%
36,"S.C. Johnson & Son, Inc.",European Headquarters (Rolle),Energy Price,very_low,Within 12 Months,0.5%
37,"S.C. Johnson & Son, Inc.",Gorzów Manufacturing,Energy Price,very_high,Within 12 Months,1.1%
38,"S.C. Johnson & Son, Inc.",Rosslyn Factory,Energy Price,medium,Within 12 Months,4.6%
39,"S.C. Johnson & Son, Inc.",Shanghai Johnson Ltd,Energy Price,low,Within 12 Months,1.8%
40,"S.C. Johnson & Son, Inc.",SC Johnson Vietnam,Energy Price,low,Within 12 Months,2.2%
41,"S.C. Johnson & Son, Inc.",LATAM Regional HQ,Energy Price,very_low,Within 12 Months,1.1%
42,"S.C. Johnson & Son, Inc.",Pilar Manufacturing,Energy Price,very_low,Within 12 Months,1.1%
43,"S.C. Johnson & Son, Inc.",Toluca Plant,Energy Price,low,Within 12 Months,1.1%
44,"GOJO Industries, Inc.",Global Headquarters,Energy Price,medium,Within 12 Months,1.5%
45,"GOJO Industries, Inc.",Lippman Campus (Stow),Energy Price,medium,Within 12 Months,1.5%
46,"GOJO Industries, Inc.",Cuyahoga Falls Plant,Energy Price,medium,Within 12 Months,1.5%
47,"GOJO Industries, Inc.",Wooster Facility,Energy Price,medium,Within 12 Months,1.5%
48,"GOJO Industries, Inc.",Maple Heights Plant,Energy Price,medium,Within 12 Months,1.5%
