,supplier_name,facility_name,risk_type,risk_level,timeframe,price_change
0,Garmin International,Global Headquarters,Energy Price,medium,Within 12 Months,7.4%
1,Garmin International,Olathe Manufacturing,Energy Price,medium,Within 12 Months,7.4%
2,Garmin International,Garmin Salem,Energy Price,medium,Within 12 Months,7.4%
3,Garmin International,Garmin Chandler,Energy Price,medium,Within 12 Months,7.4%
4,Garmin International,Lin Kou Plant (Taiwan),Energy Price,low,Within 12 Months,14.3%
5,Garmin International,Zhongli Plant (Taiwan),Energy Price,low,Within 12 Months,14.3%
6,Garmin International,Tainan Plant (Taiwan),Energy Price,low,Within 12 Months,14.3%
7,Garmin International,Garmin Europe HQ,Energy Price,medium,Within 12 Months,3.5%
8,Garmin International,Würzburg R&D (Germany),Energy Price,medium,Within 12 Months,3.5%
9,Garmin International,Garmin Cluj (Romania),Energy Price,very_high,Within 12 Months,5.5%
10,Garmin International,Garmin Singapore,Energy Price,low,Within 12 Months,11.0%
11,Garmin International,Garmin Birtley (UK),Energy Price,medium,Within 12 Months,3.5%
12,Garmin International,Garmin Australasia,Energy Price,low,Within 12 Months,11.4%
13,Techtronic Industries,TTI Innovation Center,Energy Price,medium,Within 12 Months,7.4%
14,Techtronic Industries,Milwaukee Tool Global HQ,Energy Price,medium,Within 12 Months,7.4%
15,Techtronic Industries,Milwaukee Tool Jackson Plant,Energy Price,medium,Within 12 Months,7.4%
16,Techtronic Industries,Milwaukee Tool Grenada Plant,Energy Price,medium,Within 12 Months,7.4%
17,Techtronic Industries,Milwaukee Tool Greenwood Plant,Energy Price,medium,Within 12 Months,7.4%
18,Techtronic Industries,Milwaukee Tool Olive Branch DC,Energy Price,medium,Within 12 Months,7.4%
19,Techtronic Industries,Milwaukee Tool Clinton Plant,Energy Price,medium,Within 12 Months,7.4%
20,Techtronic Industries,Milwaukee Tool West Bend,Energy Price,medium,Within 12 Months,7.4%
21,Techtronic Industries,Empire Level (Subsidiary),Energy Price,medium,Within 12 Months,7.4%
22,Techtronic Industries,Milwaukee Tool Torreon,Energy Price,low,Within 12 Months,5.5%
23,Techtronic Industries,TTI Floor Care N.A.,Energy Price,medium,Within 12 Months,7.4%
24,Techtronic Industries,TTI Dongguan Hub,Energy Price,low,Within 12 Months,9.1%
25,Techtronic Industries,TTI Vietnam (SHTP),Energy Price,low,Within 12 Months,11.0%
26,Techtronic Industries,DreBo Werkzeugfabrik,Energy Price,medium,Within 12 Months,3.5%
