,supplier_name,facility_name,risk_type,risk_level,timeframe,grid_carbon_intensity_change
0,Garmin International,Global Headquarters,Grid Mix,very_low,Within 12 Months,-1.5%
1,Garmin International,Olathe Manufacturing,Grid Mix,very_low,Within 12 Months,-1.5%
2,Garmin International,Garmin Salem,Grid Mix,very_low,Within 12 Months,-1.5%
3,Garmin International,Garmin Chandler,Grid Mix,very_low,Within 12 Months,-1.5%
4,Garmin International,Lin Kou Plant (Taiwan),Grid Mix,low,Within 12 Months,-0.4%
5,Garmin International,Zhongli Plant (Taiwan),Grid Mix,low,Within 12 Months,-0.4%
6,Garmin International,Tainan Plant (Taiwan),Grid Mix,low,Within 12 Months,-0.4%
7,Garmin International,Garmin Europe HQ,Grid Mix,low,Within 12 Months,-0.5%
8,Garmin International,Würzburg R&D (Germany),Grid Mix,very_low,Within 12 Months,-1.3%
9,Garmin International,Garmin Cluj (Romania),Grid Mix,low,Within 12 Months,1.1%
10,Garmin International,Garmin Singapore,Grid Mix,very_low,Within 12 Months,-1.9%
11,Garmin International,Garmin Birtley (UK),Grid Mix,low,Within 12 Months,-0.5%
12,Garmin International,Garmin Australasia,Grid Mix,very_low,Within 12 Months,-1.0%
13,Techtronic Industries,TTI Innovation Center,Grid Mix,very_low,Within 12 Months,-1.5%
14,Techtronic Industries,Milwaukee Tool Global HQ,Grid Mix,very_low,Within 12 Months,-1.5%
15,Techtronic Industries,Milwaukee Tool Jackson Plant,Grid Mix,very_low,Within 12 Months,-1.5%
16,Techtronic Industries,Milwaukee Tool Grenada Plant,Grid Mix,very_low,Within 12 Months,-1.5%
17,Techtronic Industries,Milwaukee Tool Greenwood Plant,Grid Mix,very_low,Within 12 Months,-1.5%
18,Techtronic Industries,Milwaukee Tool Olive Branch DC,Grid Mix,very_low,Within 12 Months,-1.5%
19,Techtronic Industries,Milwaukee Tool Clinton Plant,Grid Mix,very_low,Within 12 Months,-1.5%
20,Techtronic Industries,Milwaukee Tool West Bend,Grid Mix,very_low,Within 12 Months,-1.5%
21,Techtronic Industries,Empire Level (Subsidiary),Grid Mix,very_low,Within 12 Months,-1.5%
22,Techtronic Industries,Milwaukee Tool Torreon,Grid Mix,low,Within 12 Months,0.7%
23,Techtronic Industries,TTI Floor Care N.A.,Grid Mix,very_low,Within 12 Months,-1.5%
24,Techtronic Industries,TTI Dongguan Hub,Grid Mix,low,Within 12 Months,0.6%
25,Techtronic Industries,TTI Vietnam (SHTP),Grid Mix,low,Within 12 Months,1.8%
26,Techtronic Industries,DreBo Werkzeugfabrik,Grid Mix,very_low,Within 12 Months,-1.3%
27,Techtronic Industries,Ryobi Die Casting (USA),Grid Mix,very_low,Within 12 Months,-1.5%
28,"S.C. Johnson & Son, Inc.",Global Corporate HQ,Grid Mix,very_low,Within 12 Months,-1.5%
29,"S.C. Johnson & Son, Inc.",Waxdale Facility,Grid Mix,very_low,Within 12 Months,-1.5%
30,"S.C. Johnson & Son, Inc.",Ziploc Bay City Plant,Grid Mix,very_low,Within 12 Months,-1.5%
31,"S.C. Johnson & Son, Inc.",North America HQ,Grid Mix,very_low,Within 12 Months,-1.5%
32,"S.C. Johnson & Son, Inc.","Method ""Soapbox""",Grid Mix,very_low,Within 12 Months,-1.5%
33,"S.C. Johnson & Son, Inc.",SC Johnson Professional HQ,Grid Mix,very_low,Within 12 Months,-1.5%
34,"S.C. Johnson & Son, Inc.",Stanley Plant (SCJP),Grid Mix,very_low,Within 12 Months,-1.5%
35,"S.C. Johnson & Son, Inc.",SCJ Europlant,Grid Mix,very_low,Within 12 Months,-0.9%
36,"S.C. Johnson & Son, Inc.",European Headquarters (Rolle),Grid Mix,low,Within 12 Months,0.3%
37,"S.C. Johnson & Son, Inc.",Gorzów Manufacturing,Grid Mix,very_low,Within 12 Months,-1.0%
38,"S.C. Johnson & Son, Inc.",Rosslyn Factory,Grid Mix,very_low,Within 12 Months,-1.0%
39,"S.C. Johnson & Son, Inc.",Shanghai Johnson Ltd,Grid Mix,low,Within 12 Months,0.6%
40,"S.C. Johnson & Son, Inc.",SC Johnson Vietnam,Grid Mix,low,Within 12 Months,1.8%
41,"S.C. Johnson & Son, Inc.",LATAM Regional HQ,Grid Mix,low,Within 12 Months,1.3%
42,"S.C. Johnson & Son, Inc.",Pilar Manufacturing,Grid Mix,low,Within 12 Months,1.3%
43,"S.C. Johnson & Son, Inc.",Toluca Plant,Grid Mix,low,Within 12 Months,0.7%
44,"GOJO Industries, Inc.",Global Headquarters,Grid Mix,very_low,Within 12 Months,-1.5%
45,"GOJO Industries, Inc.",Lippman Campus (Stow),Grid Mix,very_low,Within 12 Months,-1.5%
46,"GOJO Industries, Inc.",Cuyahoga Falls Plant,Grid Mix,very_low,Within 12 Months,-1.5%
47,"GOJO Industries, Inc.",Wooster Facility,Grid Mix,very_low,Within 12 Months,-1.5%
48,"GOJO Industries, Inc.",Maple Heights Plant,Grid Mix,very_low,Within 12 Months,-1.5%
49,"GOJO Industries, Inc.",Ashland Dist. Center,Grid Mix,very_low,Within 12 Months,-1.5%
50,"GOJO Industries, Inc.",Navarre Warehouse,Grid Mix,very_low,Within 12 Months,-1.5%
51,"GOJO Industries, Inc.",GOJO Europe (UK HQ),Grid Mix,low,Within 12 Months,-0.5%
52,"GOJO Industries, Inc.",GOJO France SARL,Grid Mix,very_low,Within 12 Months,-0.8%
53,"GOJO Industries, Inc.",GOJO Australasia,Grid Mix,very_low,Within 12 Months,-1.0%
54,"GOJO Industries, Inc.","GOJO Japan, Inc.",Grid Mix,low,Within 12 Months,-0.5%
55,"GOJO Industries, Inc.",GOJO América Latina,Grid Mix,low,Within 12 Months,1.2%
56,"GOJO Industries, Inc.",GOJO Canada Inc.,Grid Mix,low,Within 12 Months,-0.3%
57,Hangzhou Greatstar Industrial.Co.,Global Headquarters,Grid Mix,low,Within 12 Months,0.6%
58,Hangzhou Greatstar Industrial.Co.,GreatStar Industrial USA,Grid Mix,very_low,Within 12 Months,-1.5%
59,Hangzhou Greatstar Industrial.Co.,Arrow Fastener Co. HQ,Grid Mix,very_low,Within 12 Months,-1.5%
60,Hangzhou Greatstar Industrial.Co.,Shop-Vac / SK Tools USA,Grid Mix,very_low,Within 12 Months,-1.5%
61,Hangzhou Greatstar Industrial.Co.,Prime-Line Products,Grid Mix,very_low,Within 12 Months,-1.5%
