,supplier_name,facility_name,risk_type,risk_level,timeframe,grid_carbon_intensity_change
0,Garmin International,Global Headquarters,Grid Mix,very_low,Within 5 Years,-7.6%
1,Garmin International,Olathe Manufacturing,Grid Mix,very_low,Within 5 Years,-7.6%
2,Garmin International,Garmin Salem,Grid Mix,very_low,Within 5 Years,-7.6%
3,Garmin International,Garmin Chandler,Grid Mix,very_low,Within 5 Years,-7.6%
4,Garmin International,Lin Kou Plant (Taiwan),Grid Mix,low,Within 5 Years,-2.2%
5,Garmin International,Zhongli Plant (Taiwan),Grid Mix,low,Within 5 Years,-2.2%
6,Garmin International,Tainan Plant (Taiwan),Grid Mix,low,Within 5 Years,-2.2%
7,Garmin International,Garmin Europe HQ,Grid Mix,low,Within 5 Years,-2.5%
8,Garmin International,Würzburg R&D (Germany),Grid Mix,very_low,Within 5 Years,-6.7%
9,Garmin International,Garmin Cluj (Romania),Grid Mix,low,Within 5 Years,5.3%
10,Garmin International,Garmin Singapore,Grid Mix,very_low,Within 5 Years,-9.4%
11,Garmin International,Garmin Birtley (UK),Grid Mix,low,Within 5 Years,-2.5%
12,Garmin International,Garmin Australasia,Grid Mix,very_low,Within 5 Years,-5.0%
13,Techtronic Industries,TTI Innovation Center,Grid Mix,very_low,Within 5 Years,-7.6%
14,Techtronic Industries,Milwaukee Tool Global HQ,Grid Mix,very_low,Within 5 Years,-7.6%
15,Techtronic Industries,Milwaukee Tool Jackson Plant,Grid Mix,very_low,Within 5 Years,-7.6%
16,Techtronic Industries,Milwaukee Tool Grenada Plant,Grid Mix,very_low,Within 5 Years,-7.6%
17,Techtronic Industries,Milwaukee Tool Greenwood Plant,Grid Mix,very_low,Within 5 Years,-7.6%
18,Techtronic Industries,Milwaukee Tool Olive Branch DC,Grid Mix,very_low,Within 5 Years,-7.6%
19,Techtronic Industries,Milwaukee Tool Clinton Plant,Grid Mix,very_low,Within 5 Years,-7.6%
20,Techtronic Industries,Milwaukee Tool West Bend,Grid Mix,very_low,Within 5 Years,-7.6%
21,Techtronic Industries,Empire Level (Subsidiary),Grid Mix,very_low,Within 5 Years,-7.6%
22,Techtronic Industries,Milwaukee Tool Torreon,Grid Mix,low,Within 5 Years,3.5%
23,Techtronic Industries,TTI Floor Care N.A.,Grid Mix,very_low,Within 5 Years,-7.6%
24,Techtronic Industries,TTI Dongguan Hub,Grid Mix,low,Within 5 Years,3.1%
25,Techtronic Industries,TTI Vietnam (SHTP),Grid Mix,low,Within 5 Years,9.0%
26,Techtronic Industries,DreBo Werkzeugfabrik,Grid Mix,very_low,Within 5 Years,-6.7%
27,Techtronic Industries,Ryobi Die Casting (USA),Grid Mix,very_low,Within 5 Years,-7.6%
28,"S.C. Johnson & Son, Inc.",Global Corporate HQ,Grid Mix,very_low,Within 5 Years,-7.6%
29,"S.C. Johnson & Son, Inc.",Waxdale Facility,Grid Mix,very_low,Within 5 Years,-7.6%
30,"S.C. Johnson & Son, Inc.",Ziploc Bay City Plant,Grid Mix,very_low,Within 5 Years,-7.6%
