supplier_name,facility_name,risk_type,risk_level,risk_confidence,timeframe,context
Garmin International,Global Headquarters,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Garmin International,Olathe Manufacturing,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Garmin International,Garmin Salem,Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
Garmin International,Garmin Chandler,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Garmin International,Lin Kou Plant (Taiwan),Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Garmin International,Zhongli Plant (Taiwan),Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
Garmin International,Tainan Plant (Taiwan),Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
Garmin International,Garmin Europe HQ,Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
Garmin International,Würzburg R&D (Germany),Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
Garmin International,Garmin Cluj (Romania),Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Garmin International,Garmin Singapore,Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
Garmin International,Garmin Birtley (UK),Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Garmin International,Garmin Australasia,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Techtronic Industries,TTI Innovation Center,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Techtronic Industries,Milwaukee Tool Global HQ,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Techtronic Industries,Milwaukee Tool Jackson Plant,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Techtronic Industries,Milwaukee Tool Grenada Plant,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Techtronic Industries,Milwaukee Tool Greenwood Plant,Inland Flooding,Critical,,Baseline,Inland flood model assigns Critical risk to this location. Expected flood loss: 33.00% of asset value per event. Classified as Critical due to very high flood risk combined with expected losses exceeding 20% of asset value.
Techtronic Industries,Milwaukee Tool Olive Branch DC,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Techtronic Industries,Milwaukee Tool Clinton Plant,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Techtronic Industries,Milwaukee Tool West Bend,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Techtronic Industries,Empire Level (Subsidiary),Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Techtronic Industries,Milwaukee Tool Torreon,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Techtronic Industries,TTI Floor Care N.A.,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Techtronic Industries,TTI Dongguan Hub,Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
Techtronic Industries,TTI Vietnam (SHTP),Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Techtronic Industries,DreBo Werkzeugfabrik,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Techtronic Industries,Ryobi Die Casting (USA),Inland Flooding,Critical,,Baseline,Inland flood model assigns Critical risk to this location. Expected flood loss: 33.00% of asset value per event. Classified as Critical due to very high flood risk combined with expected losses exceeding 20% of asset value.
"S.C. Johnson & Son, Inc.",Global Corporate HQ,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"S.C. Johnson & Son, Inc.",Waxdale Facility,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"S.C. Johnson & Son, Inc.",Ziploc Bay City Plant,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"S.C. Johnson & Son, Inc.",North America HQ,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"S.C. Johnson & Son, Inc.","Method ""Soapbox""",Inland Flooding,Very High,,Baseline,Inland flood model assigns Very High risk to this location. Expected flood loss: 13.26% of asset value per event.
"S.C. Johnson & Son, Inc.",SC Johnson Professional HQ,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"S.C. Johnson & Son, Inc.",Stanley Plant (SCJP),Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
"S.C. Johnson & Son, Inc.",SCJ Europlant,Inland Flooding,Critical,,Baseline,Inland flood model assigns Critical risk to this location. Expected flood loss: 33.00% of asset value per event. Classified as Critical due to very high flood risk combined with expected losses exceeding 20% of asset value.
"S.C. Johnson & Son, Inc.",European Headquarters (Rolle),Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"S.C. Johnson & Son, Inc.",Gorzów Manufacturing,Inland Flooding,Critical,,Baseline,Inland flood model assigns Critical risk to this location. Expected flood loss: 33.00% of asset value per event. Classified as Critical due to very high flood risk combined with expected losses exceeding 20% of asset value.
"S.C. Johnson & Son, Inc.",Rosslyn Factory,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"S.C. Johnson & Son, Inc.",Shanghai Johnson Ltd,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"S.C. Johnson & Son, Inc.",SC Johnson Vietnam,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"S.C. Johnson & Son, Inc.",LATAM Regional HQ,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"S.C. Johnson & Son, Inc.",Pilar Manufacturing,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"S.C. Johnson & Son, Inc.",Toluca Plant,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"GOJO Industries, Inc.",Global Headquarters,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"GOJO Industries, Inc.",Lippman Campus (Stow),Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"GOJO Industries, Inc.",Cuyahoga Falls Plant,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"GOJO Industries, Inc.",Wooster Facility,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"GOJO Industries, Inc.",Maple Heights Plant,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"GOJO Industries, Inc.",Ashland Dist. Center,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"GOJO Industries, Inc.",Navarre Warehouse,Inland Flooding,Critical,,Baseline,Inland flood model assigns Critical risk to this location. Expected flood loss: 33.00% of asset value per event. Classified as Critical due to very high flood risk combined with expected losses exceeding 20% of asset value.
"GOJO Industries, Inc.",GOJO Europe (UK HQ),Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
"GOJO Industries, Inc.",GOJO France SARL,Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
