supplier_name,facility_name,risk_type,risk_level,timeframe,annual_landslide_frequency_per_sqkm,source_dataset_hazard_band,nearest_mapped_landslide_km,context
Garmin International,Global Headquarters,Landslide,Low,Baseline,< 0.001 (below dataset threshold),Below dataset minimum coverage threshold,Match distance: N/Akm,Facility location falls below the source dataset minimum coverage threshold (< 0.001 (below dataset threshold)). Baseline risk level: Low.
Garmin International,Olathe Manufacturing,Landslide,Low,Baseline,< 0.001 (below dataset threshold),Below dataset minimum coverage threshold,Match distance: N/Akm,Facility location falls below the source dataset minimum coverage threshold (< 0.001 (below dataset threshold)). Baseline risk level: Low.
Garmin International,Garmin Salem,Landslide,Low,Baseline,< 0.001 (below dataset threshold),Below dataset minimum coverage threshold,Match distance: N/Akm,Facility location falls below the source dataset minimum coverage threshold (< 0.001 (below dataset threshold)). Baseline risk level: Low.
Garmin International,Garmin Chandler,Landslide,Low,Baseline,< 0.001 (below dataset threshold),Below dataset minimum coverage threshold,Match distance: N/Akm,Facility location falls below the source dataset minimum coverage threshold (< 0.001 (below dataset threshold)). Baseline risk level: Low.
Garmin International,Lin Kou Plant (Taiwan),Landslide,Critical,Baseline,0.191712,Very High,Match distance: 0.197km,Annual landslide frequency: 0.191712 events/sq.km; source dataset hazard band: Very High; nearest mapped event: 0.197km. Baseline risk level: Critical.
Garmin International,Zhongli Plant (Taiwan),Landslide,Very High,Baseline,0.016574,Medium to High,Match distance: 0.522km,Annual landslide frequency: 0.016574 events/sq.km; source dataset hazard band: Medium to High; nearest mapped event: 0.522km. Baseline risk level: Very High.
Garmin International,Tainan Plant (Taiwan),Landslide,Very High,Baseline,0.060396,High,Match distance: 0.430km,Annual landslide frequency: 0.060396 events/sq.km; source dataset hazard band: High; nearest mapped event: 0.430km. Baseline risk level: Very High.
Garmin International,Garmin Europe HQ,Landslide,Low,Baseline,< 0.001 (below dataset threshold),Below dataset minimum coverage threshold,Match distance: N/Akm,Facility location falls below the source dataset minimum coverage threshold (< 0.001 (below dataset threshold)). Baseline risk level: Low.
Garmin International,Würzburg R&D (Germany),Landslide,High,Baseline,0.003910,Medium,Match distance: 2.589km,Annual landslide frequency: 0.003910 events/sq.km; source dataset hazard band: Medium; nearest mapped event: 2.589km. Baseline risk level: High.
Garmin International,Garmin Cluj (Romania),Landslide,High,Baseline,0.003825,Medium,Match distance: 1.759km,Annual landslide frequency: 0.003825 events/sq.km; source dataset hazard band: Medium; nearest mapped event: 1.759km. Baseline risk level: High.
Garmin International,Garmin Singapore,Landslide,Very High,Baseline,0.024291,Medium to High,Match distance: 0.536km,Annual landslide frequency: 0.024291 events/sq.km; source dataset hazard band: Medium to High; nearest mapped event: 0.536km. Baseline risk level: Very High.
Garmin International,Garmin Birtley (UK),Landslide,Low,Baseline,< 0.001 (below dataset threshold),Below dataset minimum coverage threshold,Match distance: N/Akm,Facility location falls below the source dataset minimum coverage threshold (< 0.001 (below dataset threshold)). Baseline risk level: Low.
Garmin International,Garmin Australasia,Landslide,Medium,Baseline,0.001890,Moderate,Match distance: 1.557km,Annual landslide frequency: 0.001890 events/sq.km; source dataset hazard band: Moderate; nearest mapped event: 1.557km. Baseline risk level: Medium.
Techtronic Industries,TTI Innovation Center,Landslide,Low,Baseline,< 0.001 (below dataset threshold),Below dataset minimum coverage threshold,Match distance: N/Akm,Facility location falls below the source dataset minimum coverage threshold (< 0.001 (below dataset threshold)). Baseline risk level: Low.
Techtronic Industries,Milwaukee Tool Global HQ,Landslide,Low,Baseline,< 0.001 (below dataset threshold),Below dataset minimum coverage threshold,Match distance: N/Akm,Facility location falls below the source dataset minimum coverage threshold (< 0.001 (below dataset threshold)). Baseline risk level: Low.
Techtronic Industries,Milwaukee Tool Jackson Plant,Landslide,Low,Baseline,< 0.001 (below dataset threshold),Below dataset minimum coverage threshold,Match distance: N/Akm,Facility location falls below the source dataset minimum coverage threshold (< 0.001 (below dataset threshold)). Baseline risk level: Low.
Techtronic Industries,Milwaukee Tool Grenada Plant,Landslide,Low,Baseline,< 0.001 (below dataset threshold),Below dataset minimum coverage threshold,Match distance: N/Akm,Facility location falls below the source dataset minimum coverage threshold (< 0.001 (below dataset threshold)). Baseline risk level: Low.
Techtronic Industries,Milwaukee Tool Greenwood Plant,Landslide,Low,Baseline,< 0.001 (below dataset threshold),Below dataset minimum coverage threshold,Match distance: N/Akm,Facility location falls below the source dataset minimum coverage threshold (< 0.001 (below dataset threshold)). Baseline risk level: Low.
Techtronic Industries,Milwaukee Tool Olive Branch DC,Landslide,Low,Baseline,< 0.001 (below dataset threshold),Below dataset minimum coverage threshold,Match distance: N/Akm,Facility location falls below the source dataset minimum coverage threshold (< 0.001 (below dataset threshold)). Baseline risk level: Low.
Techtronic Industries,Milwaukee Tool Clinton Plant,Landslide,Low,Baseline,< 0.001 (below dataset threshold),Below dataset minimum coverage threshold,Match distance: N/Akm,Facility location falls below the source dataset minimum coverage threshold (< 0.001 (below dataset threshold)). Baseline risk level: Low.
Techtronic Industries,Milwaukee Tool West Bend,Landslide,Low,Baseline,< 0.001 (below dataset threshold),Below dataset minimum coverage threshold,Match distance: N/Akm,Facility location falls below the source dataset minimum coverage threshold (< 0.001 (below dataset threshold)). Baseline risk level: Low.
Techtronic Industries,Empire Level (Subsidiary),Landslide,Low,Baseline,< 0.001 (below dataset threshold),Below dataset minimum coverage threshold,Match distance: N/Akm,Facility location falls below the source dataset minimum coverage threshold (< 0.001 (below dataset threshold)). Baseline risk level: Low.
Techtronic Industries,Milwaukee Tool Torreon,Landslide,High,Baseline,0.003513,Medium,Match distance: 10.539km,Annual landslide frequency: 0.003513 events/sq.km; source dataset hazard band: Medium; nearest mapped event: 10.539km. Baseline risk level: High.
Techtronic Industries,TTI Floor Care N.A.,Landslide,Very High,Baseline,0.023593,Medium to High,Match distance: 10.509km,Annual landslide frequency: 0.023593 events/sq.km; source dataset hazard band: Medium to High; nearest mapped event: 10.509km. Baseline risk level: Very High.
Techtronic Industries,TTI Dongguan Hub,Landslide,Medium,Baseline,0.001201,Moderate,Match distance: 0.546km,Annual landslide frequency: 0.001201 events/sq.km; source dataset hazard band: Moderate; nearest mapped event: 0.546km. Baseline risk level: Medium.
Techtronic Industries,TTI Vietnam (SHTP),Landslide,Low,Baseline,< 0.001 (below dataset threshold),Below dataset minimum coverage threshold,Match distance: N/Akm,Facility location falls below the source dataset minimum coverage threshold (< 0.001 (below dataset threshold)). Baseline risk level: Low.
Techtronic Industries,DreBo Werkzeugfabrik,Landslide,High,Baseline,0.004354,Medium,Match distance: 6.395km,Annual landslide frequency: 0.004354 events/sq.km; source dataset hazard band: Medium; nearest mapped event: 6.395km. Baseline risk level: High.
Techtronic Industries,Ryobi Die Casting (USA),Landslide,Low,Baseline,< 0.001 (below dataset threshold),Below dataset minimum coverage threshold,Match distance: N/Akm,Facility location falls below the source dataset minimum coverage threshold (< 0.001 (below dataset threshold)). Baseline risk level: Low.
"S.C. Johnson & Son, Inc.",Global Corporate HQ,Landslide,Low,Baseline,< 0.001 (below dataset threshold),Below dataset minimum coverage threshold,Match distance: N/Akm,Facility location falls below the source dataset minimum coverage threshold (< 0.001 (below dataset threshold)). Baseline risk level: Low.
"S.C. Johnson & Son, Inc.",Waxdale Facility,Landslide,Low,Baseline,< 0.001 (below dataset threshold),Below dataset minimum coverage threshold,Match distance: N/Akm,Facility location falls below the source dataset minimum coverage threshold (< 0.001 (below dataset threshold)). Baseline risk level: Low.
"S.C. Johnson & Son, Inc.",Ziploc Bay City Plant,Landslide,Low,Baseline,< 0.001 (below dataset threshold),Below dataset minimum coverage threshold,Match distance: N/Akm,Facility location falls below the source dataset minimum coverage threshold (< 0.001 (below dataset threshold)). Baseline risk level: Low.
"S.C. Johnson & Son, Inc.",North America HQ,Landslide,Low,Baseline,< 0.001 (below dataset threshold),Below dataset minimum coverage threshold,Match distance: N/Akm,Facility location falls below the source dataset minimum coverage threshold (< 0.001 (below dataset threshold)). Baseline risk level: Low.
"S.C. Johnson & Son, Inc.","Method ""Soapbox""",Landslide,Low,Baseline,< 0.001 (below dataset threshold),Below dataset minimum coverage threshold,Match distance: N/Akm,Facility location falls below the source dataset minimum coverage threshold (< 0.001 (below dataset threshold)). Baseline risk level: Low.
"S.C. Johnson & Son, Inc.",SC Johnson Professional HQ,Landslide,Very High,Baseline,0.023739,Medium to High,Match distance: 7.756km,Annual landslide frequency: 0.023739 events/sq.km; source dataset hazard band: Medium to High; nearest mapped event: 7.756km. Baseline risk level: Very High.
"S.C. Johnson & Son, Inc.",Stanley Plant (SCJP),Landslide,High,Baseline,0.005028,Medium,Match distance: 6.114km,Annual landslide frequency: 0.005028 events/sq.km; source dataset hazard band: Medium; nearest mapped event: 6.114km. Baseline risk level: High.
"S.C. Johnson & Son, Inc.",SCJ Europlant,Landslide,Low,Baseline,< 0.001 (below dataset threshold),Below dataset minimum coverage threshold,Match distance: N/Akm,Facility location falls below the source dataset minimum coverage threshold (< 0.001 (below dataset threshold)). Baseline risk level: Low.
"S.C. Johnson & Son, Inc.",European Headquarters (Rolle),Landslide,Very High,Baseline,0.025483,Medium to High,Match distance: 1.201km,Annual landslide frequency: 0.025483 events/sq.km; source dataset hazard band: Medium to High; nearest mapped event: 1.201km. Baseline risk level: Very High.
"S.C. Johnson & Son, Inc.",Gorzów Manufacturing,Landslide,Low,Baseline,< 0.001 (below dataset threshold),Below dataset minimum coverage threshold,Match distance: N/Akm,Facility location falls below the source dataset minimum coverage threshold (< 0.001 (below dataset threshold)). Baseline risk level: Low.
"S.C. Johnson & Son, Inc.",Rosslyn Factory,Landslide,Low,Baseline,< 0.001 (below dataset threshold),Below dataset minimum coverage threshold,Match distance: N/Akm,Facility location falls below the source dataset minimum coverage threshold (< 0.001 (below dataset threshold)). Baseline risk level: Low.
"S.C. Johnson & Son, Inc.",Shanghai Johnson Ltd,Landslide,Low,Baseline,< 0.001 (below dataset threshold),Below dataset minimum coverage threshold,Match distance: N/Akm,Facility location falls below the source dataset minimum coverage threshold (< 0.001 (below dataset threshold)). Baseline risk level: Low.
"S.C. Johnson & Son, Inc.",SC Johnson Vietnam,Landslide,Low,Baseline,< 0.001 (below dataset threshold),Below dataset minimum coverage threshold,Match distance: N/Akm,Facility location falls below the source dataset minimum coverage threshold (< 0.001 (below dataset threshold)). Baseline risk level: Low.
"S.C. Johnson & Son, Inc.",LATAM Regional HQ,Landslide,Low,Baseline,< 0.001 (below dataset threshold),Below dataset minimum coverage threshold,Match distance: N/Akm,Facility location falls below the source dataset minimum coverage threshold (< 0.001 (below dataset threshold)). Baseline risk level: Low.
"S.C. Johnson & Son, Inc.",Pilar Manufacturing,Landslide,Low,Baseline,< 0.001 (below dataset threshold),Below dataset minimum coverage threshold,Match distance: N/Akm,Facility location falls below the source dataset minimum coverage threshold (< 0.001 (below dataset threshold)). Baseline risk level: Low.
