supplier_name,facility_name,risk_type,risk_level,timeframe,walk_free_vulnerability_score,walk_free_government_response_score,us_tip_report_tier,context
Garmin International,Global Headquarters,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Garmin International,Olathe Manufacturing,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Garmin International,Garmin Salem,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Garmin International,Garmin Chandler,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Garmin International,Lin Kou Plant (Taiwan),Modern Slavery,Low,Baseline,21.0,47.0,Tier 1,Walk Free vulnerability score: 21.0/100; government response score: 47.0/100 (indicating moderate risk profile). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Low.
Garmin International,Zhongli Plant (Taiwan),Modern Slavery,Low,Baseline,21.0,47.0,Tier 1,Walk Free vulnerability score: 21.0/100; government response score: 47.0/100 (indicating moderate risk profile). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Low.
Garmin International,Tainan Plant (Taiwan),Modern Slavery,Low,Baseline,21.0,47.0,Tier 1,Walk Free vulnerability score: 21.0/100; government response score: 47.0/100 (indicating moderate risk profile). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Low.
Garmin International,Garmin Europe HQ,Modern Slavery,Very Low,Baseline,14.0,68.0,Tier 1,Walk Free vulnerability score: 14.0/100; government response score: 68.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Garmin International,Würzburg R&D (Germany),Modern Slavery,Very Low,Baseline,11.0,62.0,Tier 1,Walk Free vulnerability score: 11.0/100; government response score: 62.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Garmin International,Garmin Cluj (Romania),Modern Slavery,Very Low,Baseline,26.0,58.0,Tier 2,Walk Free vulnerability score: 26.0/100; government response score: 58.0/100 (indicating moderate risk profile). US State Dept TIP Report: Tier 2 (making significant efforts). Baseline risk level: Very Low.
Garmin International,Garmin Singapore,Modern Slavery,Low,Baseline,24.0,47.0,Tier 1,Walk Free vulnerability score: 24.0/100; government response score: 47.0/100 (indicating moderate risk profile). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Low.
Garmin International,Garmin Birtley (UK),Modern Slavery,Very Low,Baseline,14.0,68.0,Tier 1,Walk Free vulnerability score: 14.0/100; government response score: 68.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Garmin International,Garmin Australasia,Modern Slavery,Very Low,Baseline,7.0,67.0,Tier 1,Walk Free vulnerability score: 7.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Techtronic Industries,TTI Innovation Center,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Techtronic Industries,Milwaukee Tool Global HQ,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Techtronic Industries,Milwaukee Tool Jackson Plant,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Techtronic Industries,Milwaukee Tool Grenada Plant,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Techtronic Industries,Milwaukee Tool Greenwood Plant,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Techtronic Industries,Milwaukee Tool Olive Branch DC,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Techtronic Industries,Milwaukee Tool Clinton Plant,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Techtronic Industries,Milwaukee Tool West Bend,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Techtronic Industries,Empire Level (Subsidiary),Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Techtronic Industries,Milwaukee Tool Torreon,Modern Slavery,Medium,Baseline,58.0,55.0,Tier 2,Walk Free vulnerability score: 58.0/100; government response score: 55.0/100 (indicating elevated structural vulnerability). US State Dept TIP Report: Tier 2 (making significant efforts). Baseline risk level: Medium.
Techtronic Industries,TTI Floor Care N.A.,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Techtronic Industries,TTI Dongguan Hub,Modern Slavery,High,Baseline,46.0,40.0,Tier 3,Walk Free vulnerability score: 46.0/100; government response score: 40.0/100 (indicating relatively weak government response). US State Dept TIP Report: Tier 3 (not making significant efforts — highest risk). Baseline risk level: High.
Techtronic Industries,TTI Vietnam (SHTP),Modern Slavery,High,Baseline,44.0,47.0,Tier 3,Walk Free vulnerability score: 44.0/100; government response score: 47.0/100 (indicating moderate risk profile). US State Dept TIP Report: Tier 3 (not making significant efforts — highest risk). Baseline risk level: High.
Techtronic Industries,DreBo Werkzeugfabrik,Modern Slavery,Very Low,Baseline,11.0,62.0,Tier 1,Walk Free vulnerability score: 11.0/100; government response score: 62.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Techtronic Industries,Ryobi Die Casting (USA),Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
"S.C. Johnson & Son, Inc.",Global Corporate HQ,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
"S.C. Johnson & Son, Inc.",Waxdale Facility,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
"S.C. Johnson & Son, Inc.",Ziploc Bay City Plant,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
"S.C. Johnson & Son, Inc.",North America HQ,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
