supplier_name,facility_name,risk_type,risk_level,timeframe,impact_type,risk_description,primary_restriction_instrument,secondary_restriction_instrument,importing_jurisdiction,source_country_or_region,context,product_linkage
Techtronic Industries,TTI Dongguan Hub,Restricted Goods - Child Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,China,"Impact classification: Disruption (USA). Source: China. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Electronic components (circuit boards, switches, motors, sensors) are direct inputs into electric hand tool manufacturing. Baseline risk level: Already happening.","Electronic components (circuit boards, switches, motors, sensors) are direct inputs into electric hand tool manufacturing."
Techtronic Industries,TTI Dongguan Hub,Restricted Goods - Forced Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,China,"Impact classification: Disruption (USA). Source: China. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Aluminium is a primary structural material used in the housings, motor casings, and components of electric hand tools. Baseline risk level: Already happening.","Aluminium is a primary structural material used in the housings, motor casings, and components of electric hand tools."
Techtronic Industries,TTI Dongguan Hub,Restricted Goods - Forced Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,China,"Impact classification: Disruption (USA). Source: China. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Coking coal is a key input in the production of steel used for tool blades, drill bits, fasteners, and structural components of electric hand tools. Baseline risk level: Already happening.","Coking coal is a key input in the production of steel used for tool blades, drill bits, fasteners, and structural components of electric hand tools."
Techtronic Industries,TTI Dongguan Hub,Restricted Goods - Forced Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,China,"Impact classification: Disruption (USA). Source: China. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Electronic components (circuit boards, switches, motors, sensors) are direct inputs into electric hand tool manufacturing. Baseline risk level: Already happening.","Electronic components (circuit boards, switches, motors, sensors) are direct inputs into electric hand tool manufacturing."
Techtronic Industries,TTI Dongguan Hub,Restricted Goods - Forced Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,China,Impact classification: Disruption (USA). Source: China. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Metallurgical grade silicon is a precursor to semiconductors and electronics used in the motor controls and circuitry of electric hand tools. Baseline risk level: Already happening.,Metallurgical grade silicon is a precursor to semiconductors and electronics used in the motor controls and circuitry of electric hand tools.
Techtronic Industries,TTI Dongguan Hub,Restricted Goods - Forced Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,China,Impact classification: Disruption (USA). Source: China. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Nails and metal fasteners are produced in the same metalworking manufacturing context as hand tools and share common raw material inputs (steel wire rod). Baseline risk level: Already happening.,Nails and metal fasteners are produced in the same metalworking manufacturing context as hand tools and share common raw material inputs (steel wire rod).
Techtronic Industries,TTI Dongguan Hub,Restricted Goods - Forced Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,China,Impact classification: Disruption (USA). Source: China. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Polysilicon is used in the semiconductor components and electronic circuitry found in powered hand tools. Baseline risk level: Already happening.,Polysilicon is used in the semiconductor components and electronic circuitry found in powered hand tools.
Techtronic Industries,TTI Dongguan Hub,Restricted Goods - Forced Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,China,"Impact classification: Disruption (USA). Source: China. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: PVC is used in the cable insulation, housing components, and handle grips of electric hand tools. Baseline risk level: Already happening.","PVC is used in the cable insulation, housing components, and handle grips of electric hand tools."
Techtronic Industries,TTI Dongguan Hub,Restricted Goods - Forced Child Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,China,"Impact classification: Disruption (USA). Source: China. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Electronic components (circuit boards, switches, motors, sensors) are direct inputs into electric hand tool manufacturing. Baseline risk level: Already happening.","Electronic components (circuit boards, switches, motors, sensors) are direct inputs into electric hand tool manufacturing."
Techtronic Industries,TTI Vietnam (SHTP),Restricted Goods - Child Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,Vietnam,"Impact classification: Disruption (USA). Source: Vietnam. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Rubber is used in tool grips, seals, gaskets, and vibration-dampening components of electric hand tools. Baseline risk level: Already happening.","Rubber is used in tool grips, seals, gaskets, and vibration-dampening components of electric hand tools."
