supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,context,annual_prob_category_1_percent,annual_prob_category_5_percent
Garmin International,Global Headquarters,Tropical Storm,Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Low Category 1+ risk). Annual probability of Category 1+ storm impact: 1.90%. Annual probability of Category 5 storm impact: 0.10%.,1.9%,0.1%
Garmin International,Olathe Manufacturing,Tropical Storm,Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Low Category 1+ risk). Annual probability of Category 1+ storm impact: 1.90%. Annual probability of Category 5 storm impact: 0.10%.,1.9%,0.1%
Garmin International,Garmin Salem,Tropical Storm,Very Low,High,High,Baseline,Facility not included in the tropical storm probabilistic model dataset. Assessed as Very Low based on regional climatology. Annual probability of Category 1+ storm impact: 0.30%. Annual probability of Category 5 storm impact: 0.00%.,0.3%,0.0%
Garmin International,Garmin Chandler,Tropical Storm,High,High,High,Baseline,Facility falls within a tropical storm risk zone (High Category 1+ risk). Annual probability of Category 1+ storm impact: 7.55%. Annual probability of Category 5 storm impact: 0.00%.,7.55%,0.0%
Garmin International,Lin Kou Plant (Taiwan),Tropical Storm,Very High,High,High,Baseline,Facility falls within a tropical storm risk zone (Very High Category 1+ risk). Annual probability of Category 1+ storm impact: 68.75%. Annual probability of Category 5 storm impact: 3.97%.,68.75%,3.97%
Garmin International,Zhongli Plant (Taiwan),Tropical Storm,Very High,High,High,Baseline,Facility falls within a tropical storm risk zone (Very High Category 1+ risk). Annual probability of Category 1+ storm impact: 90.81%. Annual probability of Category 5 storm impact: 4.33%.,90.81%,4.33%
Garmin International,Tainan Plant (Taiwan),Tropical Storm,Very High,High,High,Baseline,Facility falls within a tropical storm risk zone (Very High Category 1+ risk). Annual probability of Category 1+ storm impact: 96.17%. Annual probability of Category 5 storm impact: 4.28%.,96.17%,4.28%
Garmin International,Garmin Europe HQ,Tropical Storm,Very Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Very Low Category 1+ risk). Annual probability of Category 1+ storm impact: 0.39%. Annual probability of Category 5 storm impact: 0.00%.,0.39%,0.0%
Garmin International,Würzburg R&D (Germany),Tropical Storm,Negligible,High,High,Baseline,Facility is located in a region where tropical storm occurrence is climatologically negligible (high-latitude continental Europe). No meaningful Category 1+ storm exposure. Annual probability of Category 1+ storm impact: 0.00%. Annual probability of Category 5 storm impact: 0.00%.,0.0%,0.0%
Garmin International,Garmin Cluj (Romania),Tropical Storm,Negligible,High,High,Baseline,Facility is located in a region where tropical storm occurrence is climatologically negligible (high-latitude continental Europe). No meaningful Category 1+ storm exposure. Annual probability of Category 1+ storm impact: 0.00%. Annual probability of Category 5 storm impact: 0.00%.,0.0%,0.0%
Garmin International,Garmin Singapore,Tropical Storm,Very Low,High,High,Baseline,Facility not included in the tropical storm probabilistic model dataset. Assessed as Very Low based on regional climatology. Annual probability of Category 1+ storm impact: 0.25%. Annual probability of Category 5 storm impact: 0.00%.,0.25%,0.0%
Garmin International,Garmin Birtley (UK),Tropical Storm,Very Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Very Low Category 1+ risk). Annual probability of Category 1+ storm impact: 0.42%. Annual probability of Category 5 storm impact: 0.00%.,0.42%,0.0%
Garmin International,Garmin Australasia,Tropical Storm,Very Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Very Low Category 1+ risk). Annual probability of Category 1+ storm impact: 0.79%. Annual probability of Category 5 storm impact: 0.16%.,0.79%,0.16%
Techtronic Industries,TTI Innovation Center,Tropical Storm,High,High,High,Baseline,Facility falls within a tropical storm risk zone (High Category 1+ risk). Annual probability of Category 1+ storm impact: 6.17%. Annual probability of Category 5 storm impact: 0.027%.,6.17%,0.027%
Techtronic Industries,Milwaukee Tool Global HQ,Tropical Storm,Very Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Very Low Category 1+ risk). Annual probability of Category 1+ storm impact: 0.44%. Annual probability of Category 5 storm impact: 0.00%.,0.44%,0.0%
