supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,context,annual_prob_category_1_percent,annual_prob_category_5_percent
Garmin International,Global Headquarters,Tropical Storm,Low,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Low to Medium reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 1.11%. Annual probability of Category 5 storm impact: 0.37%.,1.11%,0.37%
Garmin International,Olathe Manufacturing,Tropical Storm,Low,High,High,Within 5 Years,All SSP scenarios consistently project Low risk. Annual probability of Category 1+ storm impact: 1.11%. Annual probability of Category 5 storm impact: 0.37%.,1.11%,0.37%
Garmin International,Garmin Salem,Tropical Storm,Very Low,Medium,Medium,Within 5 Years,SSP scenario projections indicate very low tropical storm risk over the 5-year horizon. Trend: Stable. Climate projections indicate potential intensification of storms without necessarily increasing frequency. Annual probability of Category 1+ storm impact: 0.30%. Annual probability of Category 5 storm impact: 0.00%.,0.3%,0.0%
Garmin International,Garmin Chandler,Tropical Storm,Very High,Low,Low,Within 5 Years,SSP scenarios project risk ranging from Low to Very High reflecting uncertainty in future storm frequency and intensity. Projected intensification relative to baseline. Annual probability of Category 1+ storm impact: 15.94%. Annual probability of Category 5 storm impact: 0.00%.,15.94%,0.0%
Garmin International,Lin Kou Plant (Taiwan),Tropical Storm,Very High,High,High,Within 5 Years,All SSP scenarios consistently project Very High risk. Annual probability of Category 1+ storm impact: 79.83%. Annual probability of Category 5 storm impact: 11.53%.,79.83%,11.53%
Garmin International,Zhongli Plant (Taiwan),Tropical Storm,Very High,High,High,Within 5 Years,All SSP scenarios consistently project Very High risk. Annual probability of Category 1+ storm impact: 85.61%. Annual probability of Category 5 storm impact: 9.97%.,85.61%,9.97%
Garmin International,Tainan Plant (Taiwan),Tropical Storm,Very High,High,High,Within 5 Years,All SSP scenarios consistently project Very High risk. Annual probability of Category 1+ storm impact: 72.97%. Annual probability of Category 5 storm impact: 7.99%.,72.97%,7.99%
Garmin International,Garmin Europe HQ,Tropical Storm,Very Low,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Very Low to Medium reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 2.83%. Annual probability of Category 5 storm impact: 0.00%.,2.83%,0.0%
Garmin International,Würzburg R&D (Germany),Tropical Storm,Negligible,Medium,Medium,Within 5 Years,SSP scenario projections indicate negligible tropical storm risk over the 5-year horizon. Trend: Stable. Climate projections indicate potential intensification of storms without necessarily increasing frequency. Annual probability of Category 1+ storm impact: 0.00%. Annual probability of Category 5 storm impact: 0.00%.,0.0%,0.0%
Garmin International,Garmin Cluj (Romania),Tropical Storm,Negligible,Medium,Medium,Within 5 Years,SSP scenario projections indicate negligible tropical storm risk over the 5-year horizon. Trend: Stable. Climate projections indicate potential intensification of storms without necessarily increasing frequency. Annual probability of Category 1+ storm impact: 0.00%. Annual probability of Category 5 storm impact: 0.00%.,0.0%,0.0%
