supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,context
Garmin International,Global Headquarters,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
Garmin International,Olathe Manufacturing,Waste Water,Low,High,Stable,Within 12 Months,Low wastewater discharge risk is expected to persist within this horizon. Basin water stress conditions are not expected to change materially over 12 months.
Garmin International,Garmin Salem,Waste Water,Low,High,Stable,Within 12 Months,Low wastewater discharge risk is expected to persist within this horizon. Basin water stress conditions are not expected to change materially over 12 months.
Garmin International,Garmin Chandler,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
Garmin International,Lin Kou Plant (Taiwan),Waste Water,Low,High,Stable,Within 12 Months,Low wastewater discharge risk is expected to persist within this horizon. Basin water stress conditions are not expected to change materially over 12 months.
Garmin International,Zhongli Plant (Taiwan),Waste Water,Low,High,Stable,Within 12 Months,Low wastewater discharge risk is expected to persist within this horizon. Basin water stress conditions are not expected to change materially over 12 months.
Garmin International,Tainan Plant (Taiwan),Waste Water,Low,High,Stable,Within 12 Months,Low wastewater discharge risk is expected to persist within this horizon. Basin water stress conditions are not expected to change materially over 12 months.
Garmin International,Garmin Europe HQ,Waste Water,Medium,High,Stable,Within 12 Months,Medium wastewater discharge risk persists within the 12-month horizon. No regulatory or operational changes anticipated that would materially reduce risk.
Garmin International,Würzburg R&D (Germany),Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
Garmin International,Garmin Cluj (Romania),Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
Garmin International,Garmin Singapore,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
Garmin International,Garmin Birtley (UK),Waste Water,Very Low,High,Stable,Within 12 Months,Wastewater risk remains very low within this horizon. No material change in basin water stress or facility operations anticipated over 12 months.
Garmin International,Garmin Australasia,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
Techtronic Industries,TTI Innovation Center,Waste Water,Medium,High,Stable,Within 12 Months,Medium wastewater discharge risk persists within the 12-month horizon. No regulatory or operational changes anticipated that would materially reduce risk.
Techtronic Industries,Milwaukee Tool Global HQ,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
Techtronic Industries,Milwaukee Tool Jackson Plant,Waste Water,Medium,High,Stable,Within 12 Months,Medium wastewater discharge risk persists within the 12-month horizon. No regulatory or operational changes anticipated that would materially reduce risk.
Techtronic Industries,Milwaukee Tool Grenada Plant,Waste Water,Low,High,Stable,Within 12 Months,Low wastewater discharge risk is expected to persist within this horizon. Basin water stress conditions are not expected to change materially over 12 months.
Techtronic Industries,Milwaukee Tool Greenwood Plant,Waste Water,Low,High,Stable,Within 12 Months,Low wastewater discharge risk is expected to persist within this horizon. Basin water stress conditions are not expected to change materially over 12 months.
Techtronic Industries,Milwaukee Tool Olive Branch DC,Waste Water,Low,High,Stable,Within 12 Months,Low wastewater discharge risk is expected to persist within this horizon. Basin water stress conditions are not expected to change materially over 12 months.
Techtronic Industries,Milwaukee Tool Clinton Plant,Waste Water,Low,High,Stable,Within 12 Months,Low wastewater discharge risk is expected to persist within this horizon. Basin water stress conditions are not expected to change materially over 12 months.
Techtronic Industries,Milwaukee Tool West Bend,Waste Water,Medium,High,Stable,Within 12 Months,Medium wastewater discharge risk persists within the 12-month horizon. No regulatory or operational changes anticipated that would materially reduce risk.
Techtronic Industries,Empire Level (Subsidiary),Waste Water,Very High,High,Stable,Within 12 Months,Very high wastewater discharge risk persists within the 12-month horizon. No regulatory or operational changes anticipated that would materially reduce risk.
Techtronic Industries,Milwaukee Tool Torreon,Waste Water,Very High,High,Stable,Within 12 Months,Very high wastewater discharge risk persists within the 12-month horizon. No regulatory or operational changes anticipated that would materially reduce risk.
Techtronic Industries,TTI Floor Care N.A.,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
Techtronic Industries,TTI Dongguan Hub,Waste Water,Low,High,Stable,Within 12 Months,Low wastewater discharge risk is expected to persist within this horizon. Basin water stress conditions are not expected to change materially over 12 months.
Techtronic Industries,TTI Vietnam (SHTP),Waste Water,Low,High,Stable,Within 12 Months,Low wastewater discharge risk is expected to persist within this horizon. Basin water stress conditions are not expected to change materially over 12 months.
Techtronic Industries,DreBo Werkzeugfabrik,Waste Water,Very Low,High,Stable,Within 12 Months,Wastewater risk remains very low within this horizon. No material change in basin water stress or facility operations anticipated over 12 months.
Techtronic Industries,Ryobi Die Casting (USA),Waste Water,Medium,High,Stable,Within 12 Months,Medium wastewater discharge risk persists within the 12-month horizon. No regulatory or operational changes anticipated that would materially reduce risk.
"S.C. Johnson & Son, Inc.",Global Corporate HQ,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
"S.C. Johnson & Son, Inc.",Waxdale Facility,Waste Water,Medium,High,Stable,Within 12 Months,Medium wastewater discharge risk persists within the 12-month horizon. No regulatory or operational changes anticipated that would materially reduce risk.
