supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,context,probabilty_fire_weather_conditions,fire_ignition_probability
Garmin International,Global Headquarters,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.024902; P(FWI > 20) projected = 0.241830; P(FWI > 50) historical mean (1975-2000) = 0.000076; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,24.2%,0.0%
Garmin International,Olathe Manufacturing,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.024902; P(FWI > 20) projected = 0.241830; P(FWI > 50) historical mean (1975-2000) = 0.000076; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,24.2%,0.0%
Garmin International,Garmin Salem,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.315522; P(FWI > 20) projected = 0.685610; P(FWI > 50) historical mean (1975-2000) = 0.000000; P(FWI > 50) projected = 0.045990; fire ignition probability = 0.000000.,68.6%,0.0%
Garmin International,Garmin Chandler,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 1.000000; P(FWI > 20) projected = 1.000000; P(FWI > 50) historical mean (1975-2000) = 0.994959; P(FWI > 50) projected = 0.999860; fire ignition probability = 0.000000.,100.0%,0.0%
Garmin International,Lin Kou Plant (Taiwan),Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.003661; P(FWI > 20) projected = 0.000240; P(FWI > 50) historical mean (1975-2000) = 0.000083; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Garmin International,Zhongli Plant (Taiwan),Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.008788; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000882; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Garmin International,Tainan Plant (Taiwan),Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.020062; P(FWI > 20) projected = 0.183890; P(FWI > 50) historical mean (1975-2000) = 0.000549; P(FWI > 50) projected = 0.080100; fire ignition probability = 0.000000.,18.4%,0.0%
Garmin International,Garmin Europe HQ,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.030556; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.015999; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Garmin International,Würzburg R&D (Germany),Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.024390; P(FWI > 20) projected = 0.126190; P(FWI > 50) historical mean (1975-2000) = 0.011629; P(FWI > 50) projected = 0.037170; fire ignition probability = 0.000000.,12.6%,0.0%
Garmin International,Garmin Cluj (Romania),Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.019762; P(FWI > 20) projected = 0.000040; P(FWI > 50) historical mean (1975-2000) = 0.002489; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.071429.,0.0%,7.1%
