supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,context,probabilty_fire_weather_conditions,fire_ignition_probability
Garmin International,Global Headquarters,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.024902; P(FWI > 20) projected = 0.211525; P(FWI > 50) historical mean (1975-2000) = 0.000076; P(FWI > 50) projected = 0.000148; fire ignition probability = 0.000000.,21.2%,0.0%
Garmin International,Olathe Manufacturing,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.024902; P(FWI > 20) projected = 0.211525; P(FWI > 50) historical mean (1975-2000) = 0.000076; P(FWI > 50) projected = 0.000148; fire ignition probability = 0.000000.,21.2%,0.0%
Garmin International,Garmin Salem,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.315522; P(FWI > 20) projected = 0.803957; P(FWI > 50) historical mean (1975-2000) = 0.000000; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,80.4%,0.0%
Garmin International,Garmin Chandler,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 1.000000; P(FWI > 20) projected = 1.000000; P(FWI > 50) historical mean (1975-2000) = 0.994959; P(FWI > 50) projected = 0.999855; fire ignition probability = 0.000000.,100.0%,0.0%
Garmin International,Lin Kou Plant (Taiwan),Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.003661; P(FWI > 20) projected = 0.003430; P(FWI > 50) historical mean (1975-2000) = 0.000083; P(FWI > 50) projected = 0.000023; fire ignition probability = 0.000000.,0.3%,0.0%
Garmin International,Zhongli Plant (Taiwan),Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.008788; P(FWI > 20) projected = 0.000280; P(FWI > 50) historical mean (1975-2000) = 0.000882; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Garmin International,Tainan Plant (Taiwan),Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.020062; P(FWI > 20) projected = 0.106438; P(FWI > 50) historical mean (1975-2000) = 0.000549; P(FWI > 50) projected = 0.030218; fire ignition probability = 0.000000.,10.6%,0.0%
Garmin International,Garmin Europe HQ,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.030556; P(FWI > 20) projected = 0.007160; P(FWI > 50) historical mean (1975-2000) = 0.015999; P(FWI > 50) projected = 0.000562; fire ignition probability = 0.000000.,0.7%,0.0%
Garmin International,Würzburg R&D (Germany),Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.024390; P(FWI > 20) projected = 0.010708; P(FWI > 50) historical mean (1975-2000) = 0.011629; P(FWI > 50) projected = 0.000238; fire ignition probability = 0.000000.,1.1%,0.0%
Garmin International,Garmin Cluj (Romania),Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.019762; P(FWI > 20) projected = 0.001232; P(FWI > 50) historical mean (1975-2000) = 0.002489; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.071429.,0.1%,7.1%
