supplier_name,facility_name,risk_type,risk_level,timeframe,ilo_sdg_8_8_2_score,working_poverty_rate_pct,work_injury_coverage_rate,minimum_wage_ppp_usd_monthly,context
Garmin International,Global Headquarters,Worker Rights - Labour Rights,High,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: High."
Garmin International,Global Headquarters,Worker Rights - Remuneration,Low,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: Low."
Garmin International,Olathe Manufacturing,Worker Rights - Labour Rights,High,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: High."
Garmin International,Olathe Manufacturing,Worker Rights - Remuneration,Low,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: Low."
Garmin International,Garmin Salem,Worker Rights - Labour Rights,High,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: High."
Garmin International,Garmin Salem,Worker Rights - Remuneration,Low,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: Low."
Garmin International,Garmin Chandler,Worker Rights - Labour Rights,High,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: High."
Garmin International,Garmin Chandler,Worker Rights - Remuneration,Low,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: Low."
Garmin International,Lin Kou Plant (Taiwan),Worker Rights - Labour Rights,Very Low,Baseline,0.0,0.0,0.0,0.0,ILO SDG 8.8.2 score 0.0 (full compliance or data gap — requires contextual interpretation); working poverty rate: ~0% (near-zero); work injury scheme coverage: 0 (absent or data gap); minimum wage: not reported / data gap. Baseline risk level: Very Low.
Garmin International,Lin Kou Plant (Taiwan),Worker Rights - Remuneration,Medium,Baseline,0.0,0.0,0.0,0.0,ILO SDG 8.8.2 score 0.0 (full compliance or data gap — requires contextual interpretation); working poverty rate: ~0% (near-zero); work injury scheme coverage: 0 (absent or data gap); minimum wage: not reported / data gap. Baseline risk level: Medium.
Garmin International,Zhongli Plant (Taiwan),Worker Rights - Labour Rights,Very Low,Baseline,0.0,0.0,0.0,0.0,ILO SDG 8.8.2 score 0.0 (full compliance or data gap — requires contextual interpretation); working poverty rate: ~0% (near-zero); work injury scheme coverage: 0 (absent or data gap); minimum wage: not reported / data gap. Baseline risk level: Very Low.
Garmin International,Zhongli Plant (Taiwan),Worker Rights - Remuneration,Medium,Baseline,0.0,0.0,0.0,0.0,ILO SDG 8.8.2 score 0.0 (full compliance or data gap — requires contextual interpretation); working poverty rate: ~0% (near-zero); work injury scheme coverage: 0 (absent or data gap); minimum wage: not reported / data gap. Baseline risk level: Medium.
Garmin International,Tainan Plant (Taiwan),Worker Rights - Labour Rights,Very Low,Baseline,0.0,0.0,0.0,0.0,ILO SDG 8.8.2 score 0.0 (full compliance or data gap — requires contextual interpretation); working poverty rate: ~0% (near-zero); work injury scheme coverage: 0 (absent or data gap); minimum wage: not reported / data gap. Baseline risk level: Very Low.
Garmin International,Tainan Plant (Taiwan),Worker Rights - Remuneration,Medium,Baseline,0.0,0.0,0.0,0.0,ILO SDG 8.8.2 score 0.0 (full compliance or data gap — requires contextual interpretation); working poverty rate: ~0% (near-zero); work injury scheme coverage: 0 (absent or data gap); minimum wage: not reported / data gap. Baseline risk level: Medium.
Garmin International,Garmin Europe HQ,Worker Rights - Labour Rights,Low,Baseline,1.25,81.5,0.0,2816.509,"ILO SDG 8.8.2 score 1.25 (low labour rights violations); working poverty rate: 81.5% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 2,817/month. Baseline risk level: Low."
Garmin International,Garmin Europe HQ,Worker Rights - Remuneration,Very Low,Baseline,1.25,81.5,0.0,2816.509,"ILO SDG 8.8.2 score 1.25 (low labour rights violations); working poverty rate: 81.5% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 2,817/month. Baseline risk level: Very Low."
Garmin International,Würzburg R&D (Germany),Worker Rights - Labour Rights,Very Low,Baseline,0.38,100.0,0.0,2922.223,"ILO SDG 8.8.2 score 0.38 (low labour rights violations); working poverty rate: 100.0% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 2,922/month. Baseline risk level: Very Low."
Garmin International,Würzburg R&D (Germany),Worker Rights - Remuneration,Very Low,Baseline,0.38,100.0,0.0,2922.223,"ILO SDG 8.8.2 score 0.38 (low labour rights violations); working poverty rate: 100.0% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 2,922/month. Baseline risk level: Very Low."
Garmin International,Garmin Cluj (Romania),Worker Rights - Labour Rights,High,Baseline,2.44,67.2,0.0,1753.697,"ILO SDG 8.8.2 score 2.44 (moderate labour rights constraints); working poverty rate: 67.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,754/month. Baseline risk level: High."
Garmin International,Garmin Cluj (Romania),Worker Rights - Remuneration,Low,Baseline,2.44,67.2,0.0,1753.697,"ILO SDG 8.8.2 score 2.44 (moderate labour rights constraints); working poverty rate: 67.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,754/month. Baseline risk level: Low."
Garmin International,Garmin Singapore,Worker Rights - Labour Rights,High,Baseline,2.7,95.9,0.0,0.0,ILO SDG 8.8.2 score 2.7 (moderate labour rights constraints); working poverty rate: 95.9% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: not reported / data gap. Baseline risk level: High.
Garmin International,Garmin Singapore,Worker Rights - Remuneration,Low,Baseline,2.7,95.9,0.0,0.0,ILO SDG 8.8.2 score 2.7 (moderate labour rights constraints); working poverty rate: 95.9% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: not reported / data gap. Baseline risk level: Low.
Garmin International,Garmin Birtley (UK),Worker Rights - Labour Rights,Low,Baseline,1.25,81.5,0.0,2816.509,"ILO SDG 8.8.2 score 1.25 (low labour rights violations); working poverty rate: 81.5% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 2,817/month. Baseline risk level: Low."
Garmin International,Garmin Birtley (UK),Worker Rights - Remuneration,Very Low,Baseline,1.25,81.5,0.0,2816.509,"ILO SDG 8.8.2 score 1.25 (low labour rights violations); working poverty rate: 81.5% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 2,817/month. Baseline risk level: Very Low."
Garmin International,Garmin Australasia,Worker Rights - Labour Rights,Low,Baseline,0.72,79.9,0.0,2802.603,"ILO SDG 8.8.2 score 0.72 (low labour rights violations); working poverty rate: 79.9% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 2,803/month. Baseline risk level: Low."
Garmin International,Garmin Australasia,Worker Rights - Remuneration,Very Low,Baseline,0.72,79.9,0.0,2802.603,"ILO SDG 8.8.2 score 0.72 (low labour rights violations); working poverty rate: 79.9% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 2,803/month. Baseline risk level: Very Low."
Techtronic Industries,TTI Innovation Center,Worker Rights - Labour Rights,High,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: High."
Techtronic Industries,TTI Innovation Center,Worker Rights - Remuneration,Low,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: Low."
Techtronic Industries,Milwaukee Tool Global HQ,Worker Rights - Labour Rights,High,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: High."
Techtronic Industries,Milwaukee Tool Global HQ,Worker Rights - Remuneration,Low,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: Low."
Techtronic Industries,Milwaukee Tool Jackson Plant,Worker Rights - Labour Rights,High,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: High."
Techtronic Industries,Milwaukee Tool Jackson Plant,Worker Rights - Remuneration,Low,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: Low."
Techtronic Industries,Milwaukee Tool Grenada Plant,Worker Rights - Labour Rights,High,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: High."
Techtronic Industries,Milwaukee Tool Grenada Plant,Worker Rights - Remuneration,Low,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: Low."
Techtronic Industries,Milwaukee Tool Greenwood Plant,Worker Rights - Labour Rights,High,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: High."
Techtronic Industries,Milwaukee Tool Greenwood Plant,Worker Rights - Remuneration,Low,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: Low."
Techtronic Industries,Milwaukee Tool Olive Branch DC,Worker Rights - Labour Rights,High,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: High."
Techtronic Industries,Milwaukee Tool Olive Branch DC,Worker Rights - Remuneration,Low,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: Low."
Techtronic Industries,Milwaukee Tool Clinton Plant,Worker Rights - Labour Rights,High,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: High."
Techtronic Industries,Milwaukee Tool Clinton Plant,Worker Rights - Remuneration,Low,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: Low."
Techtronic Industries,Milwaukee Tool West Bend,Worker Rights - Labour Rights,High,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: High."
