supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,facility_worker_category,automation_displacement_risk,ilo_sdg_8_8_2_score,working_poverty_rate_pct,work_injury_coverage_rate,minimum_wage_ppp_usd_monthly,country_signal,sector_signal,context,monitoring_signals
Garmin International,Global Headquarters,Worker Rights - Labour Rights,High,Low,Highly Variable,Within 5 Years,Professional / Office,Low,3.83,87.2,0.0,1257.0,"Over 5 years, US labour rights trajectory is highly variable. Two divergent scenarios: (1) Continued Republican legislative dominance — PRO Act remains stalled, NLRB rule-making reversed, RTW provisions expanded; SDG 8.8.2 score may worsen. (2) Political shift enabling PRO Act-equivalent legislation — would materially improve right to association sub-scores; score could improve to Medium risk. Neither scenario produces a cluster migration within 5 years; the relevant question is whether the High rating is maintained or worsens. Remuneration risk stays Low: minimum wage indexed in most states; social protection for work-related injury (87.2% coverage) is structurally robust.","5-year AI automation risk for office roles is real but concentrated in routine cognitive tasks (data entry, report generation, basic analysis). Senior, strategic and creative professional roles retain strong market leverage. Countries with works councils (Germany, Netherlands, Austria) will manage AI deployment through co-determination — workers in these jurisdictions have institutional recourse. Workers in countries without institutional voice (China, Vietnam, India) face AI-driven surveillance and algorithmic management with no rights-based pushback mechanism.","COUNTRY SIGNAL: Over 5 years, US labour rights trajectory is highly variable. Two divergent scenarios: (1) Continued Republican legislative dominance — PRO Act remains stalled, NLRB rule-making reversed, RTW provisions expanded; SDG 8.8.2 score may worsen. (2) Political shift enabling PRO Act-equivalent legislation — would materially improve right to association sub-scores; score could improve to Medium risk. Neither scenario produces a cluster migration within 5 years; the relevant question is whether the High rating is maintained or worsens. Remuneration risk stays Low: minimum wage indexed in most states; social protection for work-related injury (87.2% coverage) is structurally robust. SECTOR SIGNAL: 5-year AI automation risk for office roles is real but concentrated in routine cognitive tasks (data entry, report generation, basic analysis). Senior, strategic and creative professional roles retain strong market leverage. Countries with works councils (Germany, Netherlands, Austria) will manage AI deployment through co-determination — workers in these jurisdictions have institutional recourse. Workers in countries without institutional voice (China, Vietnam, India) face AI-driven surveillance and algorithmic management with no rights-based pushback mechanism.",PRO Act legislative progress; NLRB rule-making survival under judicial review; US manufacturing union density statistics; BLS contingent worker data; warehouse automation injury rate statistics
Garmin International,Global Headquarters,Worker Rights - Remuneration,Low,Low,Stable,Within 5 Years,Professional / Office,Low,3.83,87.2,0.0,1257.0,"Over 5 years, US labour rights trajectory is highly variable. Two divergent scenarios: (1) Continued Republican legislative dominance — PRO Act remains stalled, NLRB rule-making reversed, RTW provisions expanded; SDG 8.8.2 score may worsen. (2) Political shift enabling PRO Act-equivalent legislation — would materially improve right to association sub-scores; score could improve to Medium risk. Neither scenario produces a cluster migration within 5 years; the relevant question is whether the High rating is maintained or worsens. Remuneration risk stays Low: minimum wage indexed in most states; social protection for work-related injury (87.2% coverage) is structurally robust.","5-year AI automation risk for office roles is real but concentrated in routine cognitive tasks (data entry, report generation, basic analysis). Senior, strategic and creative professional roles retain strong market leverage. Countries with works councils (Germany, Netherlands, Austria) will manage AI deployment through co-determination — workers in these jurisdictions have institutional recourse. Workers in countries without institutional voice (China, Vietnam, India) face AI-driven surveillance and algorithmic management with no rights-based pushback mechanism.","COUNTRY SIGNAL: Over 5 years, US labour rights trajectory is highly variable. Two divergent scenarios: (1) Continued Republican legislative dominance — PRO Act remains stalled, NLRB rule-making reversed, RTW provisions expanded; SDG 8.8.2 score may worsen. (2) Political shift enabling PRO Act-equivalent legislation — would materially improve right to association sub-scores; score could improve to Medium risk. Neither scenario produces a cluster migration within 5 years; the relevant question is whether the High rating is maintained or worsens. Remuneration risk stays Low: minimum wage indexed in most states; social protection for work-related injury (87.2% coverage) is structurally robust. SECTOR SIGNAL: 5-year AI automation risk for office roles is real but concentrated in routine cognitive tasks (data entry, report generation, basic analysis). Senior, strategic and creative professional roles retain strong market leverage. Countries with works councils (Germany, Netherlands, Austria) will manage AI deployment through co-determination — workers in these jurisdictions have institutional recourse. Workers in countries without institutional voice (China, Vietnam, India) face AI-driven surveillance and algorithmic management with no rights-based pushback mechanism.",PRO Act legislative progress; NLRB rule-making survival under judicial review; US manufacturing union density statistics; BLS contingent worker data; warehouse automation injury rate statistics
Garmin International,Olathe Manufacturing,Worker Rights - Labour Rights,High,Low,Highly Variable,Within 5 Years,Technical / Engineering Production,Low,3.83,87.2,0.0,1257.0,"Over 5 years, US labour rights trajectory is highly variable. Two divergent scenarios: (1) Continued Republican legislative dominance — PRO Act remains stalled, NLRB rule-making reversed, RTW provisions expanded; SDG 8.8.2 score may worsen. (2) Political shift enabling PRO Act-equivalent legislation — would materially improve right to association sub-scores; score could improve to Medium risk. Neither scenario produces a cluster migration within 5 years; the relevant question is whether the High rating is maintained or worsens. Remuneration risk stays Low: minimum wage indexed in most states; social protection for work-related injury (87.2% coverage) is structurally robust.","5-year trajectory: technical and regulated manufacturing roles are partially automation-resistant due to regulatory compliance requirements. However, AI-assisted quality control and process optimisation will reduce headcount in some inspection and operator roles. In countries with institutional voice (EU), workers in declining roles will be retrained through works council agreements. In high-risk countries (China, Vietnam), displaced workers have no institutional recourse.","COUNTRY SIGNAL: Over 5 years, US labour rights trajectory is highly variable. Two divergent scenarios: (1) Continued Republican legislative dominance — PRO Act remains stalled, NLRB rule-making reversed, RTW provisions expanded; SDG 8.8.2 score may worsen. (2) Political shift enabling PRO Act-equivalent legislation — would materially improve right to association sub-scores; score could improve to Medium risk. Neither scenario produces a cluster migration within 5 years; the relevant question is whether the High rating is maintained or worsens. Remuneration risk stays Low: minimum wage indexed in most states; social protection for work-related injury (87.2% coverage) is structurally robust. SECTOR SIGNAL: 5-year trajectory: technical and regulated manufacturing roles are partially automation-resistant due to regulatory compliance requirements. However, AI-assisted quality control and process optimisation will reduce headcount in some inspection and operator roles. In countries with institutional voice (EU), workers in declining roles will be retrained through works council agreements. In high-risk countries (China, Vietnam), displaced workers have no institutional recourse.",PRO Act legislative progress; NLRB rule-making survival under judicial review; US manufacturing union density statistics; BLS contingent worker data; warehouse automation injury rate statistics
Garmin International,Olathe Manufacturing,Worker Rights - Remuneration,Low,Low,Stable,Within 5 Years,Technical / Engineering Production,Low,3.83,87.2,0.0,1257.0,"Over 5 years, US labour rights trajectory is highly variable. Two divergent scenarios: (1) Continued Republican legislative dominance — PRO Act remains stalled, NLRB rule-making reversed, RTW provisions expanded; SDG 8.8.2 score may worsen. (2) Political shift enabling PRO Act-equivalent legislation — would materially improve right to association sub-scores; score could improve to Medium risk. Neither scenario produces a cluster migration within 5 years; the relevant question is whether the High rating is maintained or worsens. Remuneration risk stays Low: minimum wage indexed in most states; social protection for work-related injury (87.2% coverage) is structurally robust.","5-year trajectory: technical and regulated manufacturing roles are partially automation-resistant due to regulatory compliance requirements. However, AI-assisted quality control and process optimisation will reduce headcount in some inspection and operator roles. In countries with institutional voice (EU), workers in declining roles will be retrained through works council agreements. In high-risk countries (China, Vietnam), displaced workers have no institutional recourse.","COUNTRY SIGNAL: Over 5 years, US labour rights trajectory is highly variable. Two divergent scenarios: (1) Continued Republican legislative dominance — PRO Act remains stalled, NLRB rule-making reversed, RTW provisions expanded; SDG 8.8.2 score may worsen. (2) Political shift enabling PRO Act-equivalent legislation — would materially improve right to association sub-scores; score could improve to Medium risk. Neither scenario produces a cluster migration within 5 years; the relevant question is whether the High rating is maintained or worsens. Remuneration risk stays Low: minimum wage indexed in most states; social protection for work-related injury (87.2% coverage) is structurally robust. SECTOR SIGNAL: 5-year trajectory: technical and regulated manufacturing roles are partially automation-resistant due to regulatory compliance requirements. However, AI-assisted quality control and process optimisation will reduce headcount in some inspection and operator roles. In countries with institutional voice (EU), workers in declining roles will be retrained through works council agreements. In high-risk countries (China, Vietnam), displaced workers have no institutional recourse.",PRO Act legislative progress; NLRB rule-making survival under judicial review; US manufacturing union density statistics; BLS contingent worker data; warehouse automation injury rate statistics
Garmin International,Garmin Salem,Worker Rights - Labour Rights,High,Low,Highly Variable,Within 5 Years,Technical / Engineering Production,Low,3.83,87.2,0.0,1257.0,"Over 5 years, US labour rights trajectory is highly variable. Two divergent scenarios: (1) Continued Republican legislative dominance — PRO Act remains stalled, NLRB rule-making reversed, RTW provisions expanded; SDG 8.8.2 score may worsen. (2) Political shift enabling PRO Act-equivalent legislation — would materially improve right to association sub-scores; score could improve to Medium risk. Neither scenario produces a cluster migration within 5 years; the relevant question is whether the High rating is maintained or worsens. Remuneration risk stays Low: minimum wage indexed in most states; social protection for work-related injury (87.2% coverage) is structurally robust.","5-year trajectory: technical and regulated manufacturing roles are partially automation-resistant due to regulatory compliance requirements. However, AI-assisted quality control and process optimisation will reduce headcount in some inspection and operator roles. In countries with institutional voice (EU), workers in declining roles will be retrained through works council agreements. In high-risk countries (China, Vietnam), displaced workers have no institutional recourse.","COUNTRY SIGNAL: Over 5 years, US labour rights trajectory is highly variable. Two divergent scenarios: (1) Continued Republican legislative dominance — PRO Act remains stalled, NLRB rule-making reversed, RTW provisions expanded; SDG 8.8.2 score may worsen. (2) Political shift enabling PRO Act-equivalent legislation — would materially improve right to association sub-scores; score could improve to Medium risk. Neither scenario produces a cluster migration within 5 years; the relevant question is whether the High rating is maintained or worsens. Remuneration risk stays Low: minimum wage indexed in most states; social protection for work-related injury (87.2% coverage) is structurally robust. SECTOR SIGNAL: 5-year trajectory: technical and regulated manufacturing roles are partially automation-resistant due to regulatory compliance requirements. However, AI-assisted quality control and process optimisation will reduce headcount in some inspection and operator roles. In countries with institutional voice (EU), workers in declining roles will be retrained through works council agreements. In high-risk countries (China, Vietnam), displaced workers have no institutional recourse.",PRO Act legislative progress; NLRB rule-making survival under judicial review; US manufacturing union density statistics; BLS contingent worker data; warehouse automation injury rate statistics
Garmin International,Garmin Salem,Worker Rights - Remuneration,Low,Low,Stable,Within 5 Years,Technical / Engineering Production,Low,3.83,87.2,0.0,1257.0,"Over 5 years, US labour rights trajectory is highly variable. Two divergent scenarios: (1) Continued Republican legislative dominance — PRO Act remains stalled, NLRB rule-making reversed, RTW provisions expanded; SDG 8.8.2 score may worsen. (2) Political shift enabling PRO Act-equivalent legislation — would materially improve right to association sub-scores; score could improve to Medium risk. Neither scenario produces a cluster migration within 5 years; the relevant question is whether the High rating is maintained or worsens. Remuneration risk stays Low: minimum wage indexed in most states; social protection for work-related injury (87.2% coverage) is structurally robust.","5-year trajectory: technical and regulated manufacturing roles are partially automation-resistant due to regulatory compliance requirements. However, AI-assisted quality control and process optimisation will reduce headcount in some inspection and operator roles. In countries with institutional voice (EU), workers in declining roles will be retrained through works council agreements. In high-risk countries (China, Vietnam), displaced workers have no institutional recourse.","COUNTRY SIGNAL: Over 5 years, US labour rights trajectory is highly variable. Two divergent scenarios: (1) Continued Republican legislative dominance — PRO Act remains stalled, NLRB rule-making reversed, RTW provisions expanded; SDG 8.8.2 score may worsen. (2) Political shift enabling PRO Act-equivalent legislation — would materially improve right to association sub-scores; score could improve to Medium risk. Neither scenario produces a cluster migration within 5 years; the relevant question is whether the High rating is maintained or worsens. Remuneration risk stays Low: minimum wage indexed in most states; social protection for work-related injury (87.2% coverage) is structurally robust. SECTOR SIGNAL: 5-year trajectory: technical and regulated manufacturing roles are partially automation-resistant due to regulatory compliance requirements. However, AI-assisted quality control and process optimisation will reduce headcount in some inspection and operator roles. In countries with institutional voice (EU), workers in declining roles will be retrained through works council agreements. In high-risk countries (China, Vietnam), displaced workers have no institutional recourse.",PRO Act legislative progress; NLRB rule-making survival under judicial review; US manufacturing union density statistics; BLS contingent worker data; warehouse automation injury rate statistics
Garmin International,Garmin Chandler,Worker Rights - Labour Rights,High,Low,Highly Variable,Within 5 Years,Technical / Engineering Production,Low,3.83,87.2,0.0,1257.0,"Over 5 years, US labour rights trajectory is highly variable. Two divergent scenarios: (1) Continued Republican legislative dominance — PRO Act remains stalled, NLRB rule-making reversed, RTW provisions expanded; SDG 8.8.2 score may worsen. (2) Political shift enabling PRO Act-equivalent legislation — would materially improve right to association sub-scores; score could improve to Medium risk. Neither scenario produces a cluster migration within 5 years; the relevant question is whether the High rating is maintained or worsens. Remuneration risk stays Low: minimum wage indexed in most states; social protection for work-related injury (87.2% coverage) is structurally robust.","5-year trajectory: technical and regulated manufacturing roles are partially automation-resistant due to regulatory compliance requirements. However, AI-assisted quality control and process optimisation will reduce headcount in some inspection and operator roles. In countries with institutional voice (EU), workers in declining roles will be retrained through works council agreements. In high-risk countries (China, Vietnam), displaced workers have no institutional recourse.","COUNTRY SIGNAL: Over 5 years, US labour rights trajectory is highly variable. Two divergent scenarios: (1) Continued Republican legislative dominance — PRO Act remains stalled, NLRB rule-making reversed, RTW provisions expanded; SDG 8.8.2 score may worsen. (2) Political shift enabling PRO Act-equivalent legislation — would materially improve right to association sub-scores; score could improve to Medium risk. Neither scenario produces a cluster migration within 5 years; the relevant question is whether the High rating is maintained or worsens. Remuneration risk stays Low: minimum wage indexed in most states; social protection for work-related injury (87.2% coverage) is structurally robust. SECTOR SIGNAL: 5-year trajectory: technical and regulated manufacturing roles are partially automation-resistant due to regulatory compliance requirements. However, AI-assisted quality control and process optimisation will reduce headcount in some inspection and operator roles. In countries with institutional voice (EU), workers in declining roles will be retrained through works council agreements. In high-risk countries (China, Vietnam), displaced workers have no institutional recourse.",PRO Act legislative progress; NLRB rule-making survival under judicial review; US manufacturing union density statistics; BLS contingent worker data; warehouse automation injury rate statistics
Garmin International,Garmin Chandler,Worker Rights - Remuneration,Low,Low,Stable,Within 5 Years,Technical / Engineering Production,Low,3.83,87.2,0.0,1257.0,"Over 5 years, US labour rights trajectory is highly variable. Two divergent scenarios: (1) Continued Republican legislative dominance — PRO Act remains stalled, NLRB rule-making reversed, RTW provisions expanded; SDG 8.8.2 score may worsen. (2) Political shift enabling PRO Act-equivalent legislation — would materially improve right to association sub-scores; score could improve to Medium risk. Neither scenario produces a cluster migration within 5 years; the relevant question is whether the High rating is maintained or worsens. Remuneration risk stays Low: minimum wage indexed in most states; social protection for work-related injury (87.2% coverage) is structurally robust.","5-year trajectory: technical and regulated manufacturing roles are partially automation-resistant due to regulatory compliance requirements. However, AI-assisted quality control and process optimisation will reduce headcount in some inspection and operator roles. In countries with institutional voice (EU), workers in declining roles will be retrained through works council agreements. In high-risk countries (China, Vietnam), displaced workers have no institutional recourse.","COUNTRY SIGNAL: Over 5 years, US labour rights trajectory is highly variable. Two divergent scenarios: (1) Continued Republican legislative dominance — PRO Act remains stalled, NLRB rule-making reversed, RTW provisions expanded; SDG 8.8.2 score may worsen. (2) Political shift enabling PRO Act-equivalent legislation — would materially improve right to association sub-scores; score could improve to Medium risk. Neither scenario produces a cluster migration within 5 years; the relevant question is whether the High rating is maintained or worsens. Remuneration risk stays Low: minimum wage indexed in most states; social protection for work-related injury (87.2% coverage) is structurally robust. SECTOR SIGNAL: 5-year trajectory: technical and regulated manufacturing roles are partially automation-resistant due to regulatory compliance requirements. However, AI-assisted quality control and process optimisation will reduce headcount in some inspection and operator roles. In countries with institutional voice (EU), workers in declining roles will be retrained through works council agreements. In high-risk countries (China, Vietnam), displaced workers have no institutional recourse.",PRO Act legislative progress; NLRB rule-making survival under judicial review; US manufacturing union density statistics; BLS contingent worker data; warehouse automation injury rate statistics
Garmin International,Lin Kou Plant (Taiwan),Worker Rights - Labour Rights,Very Low,Moderate,Improving,Within 5 Years,Technical / Engineering Production,Low,0.0,0.0,0.0,0.0,"Taiwan's improving institutional trajectory and labour force tightening (low unemployment, tech sector wage growth) should see remuneration sub-scores improve in the next ILO data cycle as Taiwan's reporting improves. The Very Low labour rights score is expected to be maintained. Garmin's Taiwan plants (Lin Kou, Zhongli, Tainan) operate in the precision electronics sector where workers have strong formal protections and market-based leverage from tight labour market conditions.","5-year trajectory: technical and regulated manufacturing roles are partially automation-resistant due to regulatory compliance requirements. However, AI-assisted quality control and process optimisation will reduce headcount in some inspection and operator roles. In countries with institutional voice (EU), workers in declining roles will be retrained through works council agreements. In high-risk countries (China, Vietnam), displaced workers have no institutional recourse.","COUNTRY SIGNAL: Taiwan's improving institutional trajectory and labour force tightening (low unemployment, tech sector wage growth) should see remuneration sub-scores improve in the next ILO data cycle as Taiwan's reporting improves. The Very Low labour rights score is expected to be maintained. Garmin's Taiwan plants (Lin Kou, Zhongli, Tainan) operate in the precision electronics sector where workers have strong formal protections and market-based leverage from tight labour market conditions. SECTOR SIGNAL: 5-year trajectory: technical and regulated manufacturing roles are partially automation-resistant due to regulatory compliance requirements. However, AI-assisted quality control and process optimisation will reduce headcount in some inspection and operator roles. In countries with institutional voice (EU), workers in declining roles will be retrained through works council agreements. In high-risk countries (China, Vietnam), displaced workers have no institutional recourse.",ILO SDG 8.8.2 Taiwan score improvement; Ministry of Labour enforcement statistics; next Walk Free data cycle Taiwan remuneration data; Garmin Taiwan facility-level audits
Garmin International,Lin Kou Plant (Taiwan),Worker Rights - Remuneration,Low,Moderate,Improving,Within 5 Years,Technical / Engineering Production,Low,0.0,0.0,0.0,0.0,"Taiwan's improving institutional trajectory and labour force tightening (low unemployment, tech sector wage growth) should see remuneration sub-scores improve in the next ILO data cycle as Taiwan's reporting improves. The Very Low labour rights score is expected to be maintained. Garmin's Taiwan plants (Lin Kou, Zhongli, Tainan) operate in the precision electronics sector where workers have strong formal protections and market-based leverage from tight labour market conditions.","5-year trajectory: technical and regulated manufacturing roles are partially automation-resistant due to regulatory compliance requirements. However, AI-assisted quality control and process optimisation will reduce headcount in some inspection and operator roles. In countries with institutional voice (EU), workers in declining roles will be retrained through works council agreements. In high-risk countries (China, Vietnam), displaced workers have no institutional recourse.","COUNTRY SIGNAL: Taiwan's improving institutional trajectory and labour force tightening (low unemployment, tech sector wage growth) should see remuneration sub-scores improve in the next ILO data cycle as Taiwan's reporting improves. The Very Low labour rights score is expected to be maintained. Garmin's Taiwan plants (Lin Kou, Zhongli, Tainan) operate in the precision electronics sector where workers have strong formal protections and market-based leverage from tight labour market conditions. SECTOR SIGNAL: 5-year trajectory: technical and regulated manufacturing roles are partially automation-resistant due to regulatory compliance requirements. However, AI-assisted quality control and process optimisation will reduce headcount in some inspection and operator roles. In countries with institutional voice (EU), workers in declining roles will be retrained through works council agreements. In high-risk countries (China, Vietnam), displaced workers have no institutional recourse.",ILO SDG 8.8.2 Taiwan score improvement; Ministry of Labour enforcement statistics; next Walk Free data cycle Taiwan remuneration data; Garmin Taiwan facility-level audits
